current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Ed Sheeran,Bad Habits,Atlantic,6,1,2
2,NA,Montez,Auf & ab,Universal Domestic Vertigo,1,2,0
3,1,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,2,1,1
4,4,The Kid Laroi / Justin Bieber,Stay,Columbia,4,4,4
5,5,Shouse,Love Tonight,Hell Beach,7,5,5
6,3,Pashanim,Sommergewitter,Urban,6,1,3
7,6,Måneskin,Beggin',RCA,9,1,6
8,7,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,12,1,7
9,8,Måneskin,I Wanna Be Your Slave,RCA,11,3,8
10,9,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,14,7,9
11,11,Nathan Evans,Wellerman,Polydor,28,1,11
12,14,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,25,3,14
13,26,Lil Nas X & Jack Harlow,Industry Baby,Columbia,2,13,26
14,13,Wes Nelson & Yxng Bane,Nice To Meet Ya,EMI,10,5,13
15,21,Tinlicker & Helsloot,Because You Move Me,Kontor Records,7,15,21
16,15,Shirin David,Lieben wir,Juicy Money Records,5,1,15
17,17,Lil Nas X,Montero (Call Me By Your Name),Columbia,19,2,17
18,16,Jamule,Wenn ich geh,Life Is Pain,3,9,16
19,12,RAF Camora,Zukunft,Indipendenza,3,4,12
20,18,The Weeknd,Save Your Tears,Republic Records,29,5,18
21,NA,Badmómzjay,Checkst du?!,Universal Domestic Vertigo,1,21,0
22,19,OneRepublic,Run,Interscope,13,19,19
23,NA,Billie Eilish,Happier Than Ever,Interscope,1,23,0
24,23,Lea x Casper,Schwarz,Four Music / Treppenhaus,5,7,23
25,24,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,23,7,24
26,25,"01099 - Gustav, Zachi",Durstlöscher,01099,12,17,25
27,28,atb x Topic x A7S,Your Love (9PM),Virgin Records,29,6,28
28,27,Dua Lipa,Levitating,Urban,20,16,27
29,34,Super-Hi x Neeka,Following The Sun,Blended,8,29,34
30,22,Luciano [DE],Schmetterling,Urban,7,3,22
31,36,HBz,King Kong,Virgin Records,8,31,36
32,35,Mark Forster x Lea,Drei Uhr nachts,Four Music,17,15,35
33,33,Tiësto,The Business,Atlantic,40,3,33
34,39,Ofenbach feat. Lagique,Wasted Love,Elektra,23,12,39
35,31,Shirin David,Ich darf das,Juicy Money Records,12,1,31
36,49,Tom Gregory,River,Kontor Records,10,36,49
37,10,Loredana x Mozzik,Nese don,Loredana,2,10,10
38,40,Jamule,Liege wieder wach,Life Is Pain,15,3,40
39,50,Glass Animals,Heat Waves,Polydor,14,39,50
40,44,Coldplay,Higher Power,Parlophone Label Group,13,35,44
41,41,Masked Wolf,Astronaut In The Ocean,Elektra,30,4,41
42,32,Vegedream,Ramenez la coupe à la maison,Universal,8,9,32
