current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Miksu / MacLoud & T-Low,Sehnsucht,Futura,4,1,1
2,2,Glass Animals,Heat Waves,Polydor,48,2,2
3,3,Gayle,abcdefu,Atlantic,20,1,3
4,4,Civo,Weg von mir,Good Kid Records/VENTURA Records,9,4,4
5,NA,Marteria,Scheiss Ossis,JKP - Jochens kleine Plattenfirma,1,5,0
6,NA,Die Toten Hosen,Scheiss Wessis,JKP - Jochens kleine Plattenfirma,1,6,0
7,5,Leony,Remedy,Kontor Records,7,5,5
8,7,Lost Frequencies / Calum Scott,Where Are You Now,RCA,33,5,7
9,11,Elton John & Dua Lipa,Cold Heart,EMI,32,3,11
10,10,Ed Sheeran,Shivers,Atlantic,29,1,10
11,9,Imagine Dragons x JID,Enemy,Interscope,22,4,9
12,12,Tiësto & Ava Max,The Motto,Atlantic,21,10,12
13,13,Jaymes Young,Infinity,Atlantic,24,13,13
14,18,Farruko,Pepas,Epic,30,11,18
15,21,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,7,15,21
16,NA,01099 - Cro,Glücklich,01099,1,16,0
17,17,The Kid Laroi / Justin Bieber,Stay,Columbia,38,1,17
18,16,Luude feat. Colin Hay,Down Under,Sweat It Out,11,9,16
19,19,Ed Sheeran,Bad Habits,Atlantic,40,1,19
20,15,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,22,3,15
21,23,Sido,Mit Dir,Urban,19,3,23
22,14,1986zig,Kopf aus,Universal Domestic Polydor,9,3,14
23,24,Jason Derulo,Acapulco,Atlantic,27,18,24
24,25,Tom Odell,Another Love,Columbia,112,11,25
25,26,Lil Nas X,Thats What I Want,Columbia,27,11,26
26,29,Shouse,Love Tonight,Hell Beach,41,4,29
27,31,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,4,27,31
28,27,Montez,Auf & ab,Universal Domestic Vertigo,35,1,27
29,32,Alvaro Soler / Ray Dalton,Manila,Epic,8,29,32
30,NA,Chapo102 & 102 Boyz,Missed Calls,Jinx Music,1,30,0
31,28,Fourty & Mathea,Wenn Du mich vermisst,Life Is Pain,7,18,28
32,6,Luciano [DE],Majestic,Urban,2,6,6
33,55,Demi Lovato,Cool For The Summer,Universal,2,33,55
34,30,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,5,15,30
35,35,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,14,28,35
36,NA,Jala Brat x Buba Corelli x RAF Camora,Criminal,IMPERIA by EMDC Network,1,36,0
37,33,Glockenbach x ClockClock,Brooklyn,Wefor,13,26,33
38,8,Kontra K,Für den Himmel durch die Hölle,Letzte Woelfe,2,8,8
39,39,Elley Duhé,Middle Of The Night,RCA,16,39,39
40,36,Pajel,10von10,Epic / DOPE,32,2,36
41,22,Rammstein,Zeit,Rammstein,3,1,22
