current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Domiziana,Ohne Benzin,SME-Four Music,4,1,2
2,1,Luciano [DE],Beautiful Girl,Urban,7,1,1
3,3,DJ Robin & Schürze,Layla,Polydor,5,3,3
4,4,Kate Bush,Running Up That Hill,EMI,22,3,4
5,5,Emilio,Ausmacht,SME-Jive,2,5,5
6,6,Ion Miles / SiraOne / BHZ,Powerade,SME-Sony Music / BHZ,8,2,6
7,7,Harry Styles,As It Was,SME-Columbia,11,1,7
8,8,Miksu / MacLoud & T-Low,Sehnsucht,Futura,15,1,8
9,23,Julian Sommer,Dicht im Flieger,Electrola,11,9,23
10,9,T-Low & Miksu / Macloud,We Made It,Spinnup,8,1,9
11,12,Öwnboss & Sevek,Move Your Body,Musical Freedom,13,11,12
12,11,Glass Animals,Heat Waves,Polydor,59,2,11
13,13,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,7,13,13
14,16,Farruko,Pepas,SME-Epic,41,11,16
15,15,Leony,Remedy,Kontor Records,18,5,15
16,18,Lost Frequencies / Calum Scott,Where Are You Now,SME-RCA,44,5,18
17,14,Jack Harlow,First Class,Atlantic,10,2,14
18,21,Camila Cabello feat. Ed Sheeran,Bam Bam,SME-Epic,15,12,21
19,28,Imanbek & BYOR,Belly Dancer,Musical Freedom,8,19,28
20,19,Tiësto & Ava Max,The Motto,Atlantic,32,10,19
21,22,Elton John & Dua Lipa,Cold Heart,EMI,43,3,22
22,29,Benzz,Je m'appelle,Universal,5,22,29
23,20,Panic! At The Disco,House Of Memories,Fueled By Ramen,8,12,20
24,48,James Hype & Miggy Dela Rosa,Ferrari,The Cross,3,24,48
25,24,The Ironix & Nullzweizwei,Coachella,Between Worlds,3,24,24
26,25,Ed Sheeran,Shivers,Atlantic,40,1,25
27,34,Jax Jones & MNEK,Where Did You Go?,Polydor,12,27,34
28,10,Farid Bang & Capital Bra x Sanna,Beretta,Banger Musik,2,10,10
29,32,Gayle,abcdefu,Atlantic,31,1,32
30,37,Kamrad,I Believe,SME-Epic,17,30,37
31,36,Ed Sheeran,Bad Habits,Atlantic,51,1,36
