current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,3,DJ Robin & Schürze,Layla,Universal Domestic Polydor,6,1,3
2,1,Domiziana,Ohne Benzin,Four Music,5,1,1
3,2,Luciano [DE],Beautiful Girl,Urban,8,1,2
4,4,Kate Bush,Running Up That Hill,EMI,23,3,4
5,7,Harry Styles,As It Was,Columbia,12,1,7
6,6,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,9,2,6
7,5,Emilio,Ausmacht,Jive,3,5,5
8,9,Julian Sommer,Dicht im Flieger,Electrola,12,8,9
9,8,Miksu / MacLoud & T-Low,Sehnsucht,Futura,16,1,8
10,10,T-Low & Miksu / Macloud,We Made It,Spinnup,9,1,10
11,12,Glass Animals,Heat Waves,Polydor,60,2,12
12,11,Öwnboss & Sevek,Move Your Body,Musical Freedom,14,11,11
13,14,Farruko,Pepas,Epic,42,11,14
14,24,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,4,14,24
15,13,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,8,13,13
16,16,Lost Frequencies / Calum Scott,Where Are You Now,RCA,45,5,16
17,19,Imanbek & BYOR,Belly Dancer,Musical Freedom,9,17,19
18,18,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,16,12,18
19,15,Leony,Remedy,Kontor Records,19,5,15
20,NA,Headie One & Luciano,Cloud,Epic,1,20,0
21,20,Tiësto & Ava Max,The Motto,Atlantic,33,10,20
22,21,Elton John & Dua Lipa,Cold Heart,EMI,44,3,21
23,17,Jack Harlow,First Class,Atlantic,11,2,17
24,NA,Cro feat. Claudia Valentina,High,Urban,1,24,0
25,26,Ed Sheeran,Shivers,Atlantic,41,1,26
26,30,Kamrad,I Believe,Epic,18,26,30
27,22,Benzz,Je m'appelle,Universal,6,22,22
28,25,The Ironix & Nullzweizwei,Coachella,Between Worlds,4,24,25
29,23,Panic! At The Disco,House Of Memories,Fueled By Ramen,9,12,23
30,27,Jax Jones & MNEK,Where Did You Go?,Polydor,13,27,27
31,NA,Joji,Glimpse Of Us,88rising Music,1,31,0
32,34,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,7,32,34
33,31,Ed Sheeran,Bad Habits,Atlantic,52,1,31
34,29,Gayle,abcdefu,Atlantic,32,1,29
35,33,Alvaro Soler / Ray Dalton,Manila,Epic,20,23,33
36,35,Shouse,Love Tonight,Hell Beach,53,4,35
37,37,ClockClock,Sorry,Wefor,13,18,37
38,32,Malik Harris,Rockstars,Better Now Records,12,8,32
39,41,Tom Odell,Another Love,Columbia,124,11,41
40,49,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,11,40,49
41,40,The Kid Laroi / Justin Bieber,Stay,Columbia,50,1,40
42,NA,Dardan x Hava,Day & Night,Hypnotize Entertainment,1,42,0
43,36,Civo,Weg von mir,Good Kid Records/VENTURA Records,21,4,36
44,44,Elley Duhé,Middle Of The Night,RCA,28,31,44
45,28,Farid Bang & Capital Bra x Sanna,Beretta,Banger Musik,3,10,28
46,39,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,19,12,39
47,42,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,34,3,42
48,48,Jason Derulo,Acapulco,Atlantic,39,18,48
49,43,Imagine Dragons x JID,Enemy,Interscope,34,4,43
50,45,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,47,1,45
51,38,Rammstein,Dicke Titten,Rammstein,5,19,38
52,55,Endzone / TM,61 Grad,2Live Entertainment,31,25,55
53,46,Lizzo,About Damn Time,Atlantic,7,34,46
54,51,Jaymes Young,Infinity,Atlantic,36,11,51
55,53,Nathan Evans,Wellerman,Polydor,74,1,53
56,52,Luude feat. Colin Hay,Down Under,Sweat It Out,23,9,52
57,60,Pashanim,Sommergewitter,Urban,51,1,60
58,54,Montez,Auf & ab,Universal Domestic Vertigo,47,1,54
59,59,Måneskin,Supermodel,RCA,6,49,59
60,50,Tate McRae,She's All I Wanna Be,RCA,17,50,50
61,NA,Noizy feat. Loredana,Heart Attack,OTR Records,1,61,0
62,95,Calvin Harris & Dua Lipa,One Kiss,Sony Music,44,1,95
63,47,Romero [DE],Sie liebt Techno,Epic,9,34,47
64,66,Lil Nas X,Thats What I Want,Columbia,39,11,66
65,58,T-Low,Crashen,Spinnup,28,27,58
66,77,Nathan Dawe feat. Ella Henderson,21 Reasons,Atlantic,2,66,77
67,NA,Ayliva & Mudi,Was Besseres,Whiteheart Records,1,67,0
68,68,Shawn Mendes,When You're Gone,Island,12,37,68
69,72,The Weeknd,Save Your Tears,Republic Records,74,5,72
70,71,Glockenbach x ClockClock,Brooklyn,Wefor,25,26,71
71,67,Shouse,Won't Forget You,Hell Beach,14,36,67
72,76,Felix Jaehn feat. Zoe Wees,Do It Better,Virgin Records,3,72,76
