current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Mariah Carey,All I Want For Christmas Is You,Sony Music,80,1,1
2,2,Wham!,Last Christmas,Sony Music,151,2,2
3,3,Gayle,abcdefu,Atlantic,4,3,3
4,5,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,4,1,5
5,NA,Ed Sheeran & Elton John,Merry Christmas,Atlantic,1,5,0
6,14,Chris Rea,Driving Home For Christmas,Warner Music International,67,3,14
7,8,Sido,Mit Dir,Urban,3,5,8
8,6,Ed Sheeran,Shivers,Atlantic,13,1,6
9,13,Shakin' Stevens,Merry Christmas Everyone,BMG,25,4,13
10,9,Melanie Thornton,Wonderful Dream (Holidays Are Coming),Universal Domestic Polydor,126,3,9
11,4,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",6,3,4
12,7,Elton John & Dua Lipa,Cold Heart,EMI,16,3,7
13,16,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,24,6,16
14,38,Montez,Auf & ab,Universal Domestic Vertigo,19,1,38
15,15,Glass Animals,Heat Waves,Polydor,32,2,15
16,NA,Luciano [DE],SUV,Locosquad,1,16,0
17,12,Adele,Easy On Me,Columbia,8,1,12
18,20,Ariana Grande,Santa Tell Me,Universal,22,10,20
19,19,The Kid Laroi / Justin Bieber,Stay,Columbia,22,1,19
20,30,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,34,6,30
21,17,Lost Frequencies / Calum Scott,Where Are You Now,RCA,17,5,17
22,24,Kelly Clarkson,Underneath The Tree,RCA,18,13,24
23,26,Paul McCartney,Wonderful Christmastime,Capitol,21,8,26
24,34,José Feliciano,Feliz Navidad,RCA,51,15,34
25,22,Ed Sheeran,Bad Habits,Atlantic,24,1,22
26,33,Brenda Lee,Rockin' Around The Christmas Tree,Universal,17,12,33
27,21,Farruko,Pepas,Epic,14,11,21
28,32,Bobby Helms,Jingle Bell Rock,K-Tel,17,15,32
29,40,Band Aid,Do They Know It's Christmas?,Mercury,55,1,40
30,39,Sia,Snowman,Monkey Puzzle Records Inc.,7,20,39
