current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,3,Harry Styles,As It Was,Columbia,3,1,3
2,2,Jack Harlow,First Class,Generation Now/Atlantic,2,2,2
3,1,Rammstein,Zick zack,Rammstein,2,1,1
4,4,Miksu / MacLoud & T-Low,Sehnsucht,Futura,7,1,4
5,5,Glass Animals,Heat Waves,Polydor,51,2,5
6,6,Leony,Remedy,Kontor Records,10,5,6
7,7,Gayle,abcdefu,Atlantic,23,1,7
8,8,Lost Frequencies / Calum Scott,Where Are You Now,RCA,36,5,8
9,16,Ed Sheeran,Shivers,Atlantic,32,1,16
10,12,Elton John & Dua Lipa,Cold Heart,EMI,35,3,12
11,13,Tiësto & Ava Max,The Motto,Atlantic,24,10,13
12,9,Civo,Weg von mir,Good Kid Records/VENTURA Records,12,4,9
13,10,Imagine Dragons x JID,Enemy,Interscope,25,4,10
14,15,Farruko,Pepas,Epic,33,11,15
15,14,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,10,12,14
16,11,Jaymes Young,Infinity,Atlantic,27,11,11
17,17,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,7,17,17
18,18,Ed Sheeran,Bad Habits,Atlantic,43,1,18
19,20,The Kid Laroi / Justin Bieber,Stay,Columbia,41,1,20
20,19,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,25,3,19
21,30,ClockClock,Sorry,Wefor,4,21,30
22,21,Luude feat. Colin Hay,Down Under,Sweat It Out,14,9,21
23,35,Alvaro Soler / Ray Dalton,Manila,Epic,11,23,35
24,26,Jason Derulo,Acapulco,Atlantic,30,18,26
25,25,Shouse,Love Tonight,Hell Beach,44,4,25
26,23,Lil Nas X,Thats What I Want,Columbia,30,11,23
27,22,Tom Odell,Another Love,Columbia,115,11,22
28,42,Jax Jones & MNEK,Where Did You Go?,Polydor,4,28,42
29,37,Öwnboss & Sevek,Move Your Body,Musical Freedom,5,29,37
30,24,Montez,Auf & ab,Universal Domestic Vertigo,38,1,24
31,34,Elley Duhé,Middle Of The Night,RCA,19,31,34
32,27,Sido,Mit Dir,Urban,22,3,27
33,28,Lil Tjay,In My Head,Columbia,3,22,28
34,32,1986zig,Kopf aus,Universal Domestic Polydor,12,3,32
35,39,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,17,28,39
36,40,Nathan Evans,Wellerman,Polydor,65,1,40
37,49,Shouse,Won't Forget You,Hell Beach,5,37,49
38,44,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,38,1,44
39,NA,Gallo Nero x Bonez MC,Mukke,Gold League,1,39,0
40,54,Glockenbach x ClockClock,Brooklyn,Wefor,16,26,54
41,43,Pajel,10von10,Epic / DOPE,35,2,43
42,46,Lil Nas X & Jack Harlow,Industry Baby,Columbia,39,9,46
43,41,01099 - Cro,Glücklich,01099,4,16,41
44,55,Silva,Jumper,Urban,3,44,55
45,48,The Weeknd,Save Your Tears,Republic Records,65,5,48
46,60,A1 x J1 & Tion Wayne,Night Away (Dance),EMI,5,46,60
47,50,Dove Cameron,Boyfriend,Columbia,10,26,50
48,58,The Weeknd,Blinding Lights,Republic Records,124,1,58
49,45,Demi Lovato,Cool For The Summer,Universal,5,33,45
50,53,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,49,1,53
51,47,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,8,15,47
52,61,Topic x Robin Schulz x Nico Santos x Paul van Dyk,In Your Arms (For An Angel),Virgin Records,11,36,61
53,69,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,2,53,69
