current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,DJ Robin & Schürze,Layla,Universal Domestic Polydor,9,1,1
2,4,Liaze,Paradise,Ventura Records,3,2,4
3,NA,Kontra K feat. Sido & Leony,Follow,Letzte Woelfe,1,3,0
4,NA,Pashanim,Kleiner Prinz,Urban,1,4,0
5,2,Luciano [DE],Beautiful Girl,Urban,11,1,2
6,3,Domiziana,Ohne Benzin,Four Music,8,1,3
7,5,Kate Bush,Running Up That Hill,EMI,26,3,5
8,8,Julian Sommer,Dicht im Flieger,Electrola,15,7,8
9,6,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,12,2,6
10,7,Harry Styles,As It Was,Columbia,15,1,7
11,11,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,7,11,11
12,72,Rammstein,Dicke Titten,Rammstein,8,12,72
13,NA,Shindy,Hot Summer,Sony Music / SHINDY,1,13,0
14,9,T-Low & Miksu / Macloud,We Made It,Spinnup,12,1,9
15,NA,Miksu / MacLoud & Makko,Nachts wach,Futura,1,15,0
16,10,Miksu / MacLoud & T-Low,Sehnsucht,Futura,19,1,10
17,12,Glass Animals,Heat Waves,Polydor,63,2,12
18,15,Imanbek & BYOR,Belly Dancer,Musical Freedom,12,15,15
19,14,Öwnboss & Sevek,Move Your Body,Musical Freedom,17,11,14
20,16,Farruko,Pepas,Epic,45,11,16
21,13,Emilio,Ausmacht,Jive,6,5,13
22,18,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,19,12,18
23,17,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,11,13,17
24,21,Ed Sheeran,Shivers,Atlantic,44,1,21
25,19,Lost Frequencies / Calum Scott,Where Are You Now,RCA,48,5,19
26,22,Leony,Remedy,Kontor Records,22,5,22
27,NA,Kraftklub feat. Tokio Hotel,Fahr mit mir (4x4),Universal Domestic Vertigo,1,27,0
28,20,Kamrad,I Believe,Epic,21,20,20
29,26,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,14,26,26
30,23,Elton John & Dua Lipa,Cold Heart,EMI,47,3,23
31,24,Tiësto & Ava Max,The Motto,Atlantic,36,10,24
32,NA,Rosa Linn,Snap,Nvak Collective,1,32,0
33,25,Benzz,Je m'appelle,Universal,9,22,25
34,32,Ed Sheeran,Bad Habits,Atlantic,55,1,32
35,27,Panic! At The Disco,House Of Memories,Fueled By Ramen,12,12,27
36,28,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,10,28,28
37,33,Tom Odell,Another Love,Columbia,127,11,33
38,30,Jax Jones & MNEK,Where Did You Go?,Polydor,16,27,30
39,NA,Juju [DE],Fick dein Insta,Jinx Music,1,39,0
40,43,Jason Derulo,Acapulco,Atlantic,42,18,43
41,31,Jack Harlow,First Class,Atlantic,14,2,31
42,29,The Ironix & Nullzweizwei,Coachella,Between Worlds,7,24,29
