current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,"Shirin David, Kitty Kat",Be A Hoe/Break A Hoe,Universal Domestic Vertigo,1,1,0
2,1,Ed Sheeran,Shivers,Atlantic,8,1,1
3,49,Pashanim,Paris Freestyle,Urban,2,3,49
4,3,Elton John & Dua Lipa,Cold Heart,EMI,11,3,3
5,8,Ed Sheeran,Bad Habits,Atlantic,19,1,8
6,4,Glass Animals,Heat Waves,Polydor,27,2,4
7,2,Adele,Easy On Me,SME - Columbia,3,1,2
8,NA,Kalim feat. Luciano,Bleib' über Nacht,Urban,1,8,0
9,5,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,12,5,5
10,6,The Kid Laroi / Justin Bieber,Stay,SME - Columbia,17,1,6
11,9,Shouse,Love Tonight,Hell Beach,20,4,9
12,7,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,8,6,7
13,28,Dardan & Nimo,B.I.B.O.,Hypnotize Entertainment,4,13,28
14,11,Farruko,Pepas,SME - Epic,9,11,11
15,NA,Cro,Dein Song,Urban,1,15,0
16,12,Montez,Auf & ab,Universal Domestic Vertigo,14,1,12
17,NA,Ed Sheeran,Overpass Graffiti,Warner Music International,1,17,0
18,NA,Finch x Scooter,Rave Witchers,Walk This Way Records,1,18,0
19,10,Gzuz,Späti,187 Strassenbande,3,4,10
20,16,Lil Nas X & Jack Harlow,Industry Baby,SME - Columbia,15,9,16
21,20,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,10,20,20
22,15,Lisa [KR],Money,YG Entertainment,5,14,15
23,17,Pajel,10von10,SME - Epic / DOPE,12,5,17
24,21,Jason Derulo,Acapulco,Atlantic,6,21,21
25,18,ART [DE],Belgisches Viertel,23HOURS,10,13,18
26,27,Tinlicker & Helsloot,Because You Move Me,Kontor Records,20,14,27
27,22,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,15,1,22
28,30,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,12,20,30
29,14,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,2,14,14
30,33,Milky Chance,Colorado,Muggelig Records GmbH,15,28,33
31,29,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,25,1,29
32,26,Coldplay x BTS,My Universe,Parlophone Label Group,6,13,26
33,35,Lil Nas X,Thats What I Want,SME - Columbia,7,18,35
34,38,Pashanim,Sommergewitter,Urban,19,1,38
35,39,Nathan Evans,Wellerman,Polydor,41,1,39
36,23,RAF Camora,Guapa,Indipendenza,4,8,23
37,32,RAF Camora feat. Luciano,2CB,Indipendenza,8,1,32
38,25,Kid Kapri & Florida Juicy,Mosaik,Recordjet,4,19,25
39,13,Jamule & Miksu / MacLoud,Normal für mich,Life Is Pain,2,13,13
40,24,Vanessa Mai / Sido,Happy End,SME - Ariola,3,12,24
41,53,Purple Disco Machine feat. Eyelar,Dopamine,SME - Columbia,4,41,53
42,43,Måneskin,Beggin',SME - RCA,22,1,43
43,NA,PA Sports,IDWK,Life Is Pain,1,43,0
44,31,"Dardan, Nimo & Mozzik",Per ty,Hypnotize Entertainment,3,14,31
45,NA,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",1,45,0
46,37,Samra x Topic42 feat. Arash,Ich bin weg (Boro boro),Cataleya Edition,6,9,37
47,44,Doja Cat,Woman,SME - RCA,13,18,44
48,48,Dua Lipa,Love Again,Urban,8,44,48
49,34,Apache 207,Kapitel II Vodka (2sad2disco),SME - Four Music / TwoSides,5,1,34
50,51,Laurell,Habit,FFMM GmbH,14,31,51
51,52,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),SME - Columbia,38,3,52
52,46,The Weeknd,Take My Breath,Republic Records,13,18,46
53,NA,Monet192,Vorbei,Warner Music Germany,1,53,0
54,59,The Weeknd,Blinding Lights,Republic Records,101,1,59
55,40,Hava,Moje sve,SME - RCA,5,12,40
56,54,The Weeknd,Save Your Tears,Republic Records,42,5,54
57,41,Montez x Badmómzjay,Mond,Universal Domestic Vertigo,5,10,41
58,45,Jaymes Young,Infinity,Atlantic,5,45,45
59,19,"01099, Gustav & Zachi feat. AVO",Dies & das,01099,2,19,19
60,NA,RIN,Rot,SME - Gold League,1,60,0
61,56,J Balvin & Skrillex,In Da Getto,Sueños Globales,9,56,56
62,NA,Casper feat. Tua,TNT,SME - Columbia / Eklat Tonträger,1,62,0
63,57,Billie Eilish,Happier Than Ever,Interscope,14,23,57
64,55,Måneskin,I Wanna Be Your Slave,SME - RCA,24,3,55
65,58,Lea,Wenn Du mich lässt,SME - Four Music / Treppenhaus,11,22,58
66,63,Kungs,Never Going Home,Universal,9,47,63
67,60,Lil Nas X,Montero (Call Me By Your Name),SME - Columbia,32,2,60
68,NA,Ardian Bujupi,Pina Whiskey,SME - Columbia Domestic,1,68,0
69,61,Oliver Tree,Life Goes On,Atlantic,6,54,61
70,65,Justin Wellington and Small Jam,Iko Iko,SME - Columbia / B1,27,7,65
71,67,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,13,2,67
72,NA,BoyWithUke,Toxic,BoyWithUke,1,72,0
73,62,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,11,2,62
74,69,atb x Topic x A7S,Your Love (9PM),Virgin Records,42,6,69
75,71,Tiësto,The Business,Atlantic,53,3,71
76,76,Apache 207,Roller,SME - Four Music / TwoSides,114,1,76
77,68,David Guetta / MistaJam / John Newman,If You Really Love Me (How Will I Know),Parlophone Label Group,16,40,68
78,NA,Shirin David,Lieben wir,Juicy Money Records,16,1,0
79,75,Tom Odell,Another Love,SME - Columbia,96,11,75
80,66,T-Low,Crashen,Spinnup,16,27,66
81,NA,OMG,Schmerz,OMG,1,81,0
82,74,OneRepublic,Run,Interscope,26,19,74
83,72,Kalim,Blueprint,Urban,3,35,72
84,NA,Kalim feat. Haftbefehl,Ozean,Urban,6,15,0
85,NA,ART [DE],Winterjacke,23HOURS,1,85,0
86,81,Mark Forster x Lea,Drei Uhr nachts,SME - Four Music,30,15,81
87,64,Helene Fischer,Null auf 100,Universal Domestic Polydor,3,41,64
88,84,Joel Corry feat. MNEK,Head & Heart,Atlantic,68,4,84
89,85,Ofenbach feat. Lagique,Wasted Love,Elektra,36,12,85
90,NA,"Imagine Dragons, JID & League Of Legends",Enemy,KIDinaKORNER,1,90,0
91,NA,Rockwell,Somebody's Watching Me,Universal,16,2,0
92,NA,$oho Bani,Viral,$OHO BANI,1,92,0
93,83,HBz,King Kong,Virgin Records,21,31,83
94,78,MKTO,Classic,SME - Sony Music,4,78,78
95,77,Super-Hi x Neeka,Following The Sun,Blended,21,24,77
96,79,Justin Bieber,Ghost,Def Jam,3,79,79
97,NA,Becky Hill & Topic,My Heart Goes (La Di Da),Polydor,1,97,0
98,NA,SSIO,Nullkommaneun,Alles Oder Nix Records,4,56,0
99,88,Bausa feat. Apache 207,Madonna,Warner Music Germany,37,1,88
100,73,Coldplay,Higher Power,Parlophone Label Group,26,35,73
