current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Luciano [DE],Beautiful Girl,Urban,5,1,1
2,8,Domiziana,Ohne Benzin,Four Music,2,2,8
3,3,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,6,2,3
4,2,Harry Styles,As It Was,Columbia,9,1,2
5,5,Miksu / MacLoud & T-Low,Sehnsucht,Futura,13,1,5
6,4,T-Low & Miksu / Macloud,We Made It,Spinnup,6,1,4
7,35,DJ Robin & Schürze,Layla,Summerfield Records,3,7,35
8,7,Glass Animals,Heat Waves,Polydor,57,2,7
9,6,Jack Harlow,First Class,Atlantic,8,2,6
10,9,Leony,Remedy,Kontor Records,16,5,9
11,11,Öwnboss & Sevek,Move Your Body,Musical Freedom,11,11,11
12,13,Panic! At The Disco,House Of Memories,Fueled By Ramen,6,12,13
13,10,Tiësto & Ava Max,The Motto,Atlantic,30,10,10
14,NA,Kate Bush,Running Up That Hill,EMI,20,3,0
15,12,Lost Frequencies / Calum Scott,Where Are You Now,RCA,42,5,12
16,14,SDP & Clueso,Die schönsten Tage,Nur Musik ist schöner,5,14,14
17,17,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,13,12,17
18,15,Farruko,Pepas,Epic,39,11,15
19,91,Rammstein,Dicke Titten,Rammstein,2,19,91
20,18,Elton John & Dua Lipa,Cold Heart,EMI,41,3,18
21,20,Ed Sheeran,Shivers,Atlantic,38,1,20
22,19,Gayle,abcdefu,Atlantic,29,1,19
23,22,ClockClock,Sorry,Wefor,10,18,22
24,16,Malik Harris,Rockstars,Better Now Records,9,8,16
25,29,Benzz,Je m'appelle,Universal,3,25,29
26,NA,"Loredana, Céline & Miksu / Macloud",Ballade,Loredana,1,26,0
27,NA,The Ironix & Nullzweizwei,Coachella,Between Worlds,1,27,0
28,37,Tom Odell,Another Love,Columbia,121,11,37
29,27,Ed Sheeran,Bad Habits,Atlantic,49,1,27
30,25,Civo,Weg von mir,Good Kid Records/VENTURA Records,18,4,25
31,26,Imagine Dragons x JID,Enemy,Interscope,31,4,26
32,28,Jax Jones & MNEK,Where Did You Go?,Polydor,10,27,28
33,46,Imanbek & BYOR,Belly Dancer,Musical Freedom,6,33,46
34,40,Julian Sommer,Dicht im Flieger,Electrola,9,34,40
35,NA,Lucio101 / Ufo361,Hier,Columbia / 1019 Records,1,35,0
36,43,Elley Duhé,Middle Of The Night,RCA,25,31,43
37,34,Lizzo,About Damn Time,Atlantic,4,34,34
38,30,Alvaro Soler / Ray Dalton,Manila,Epic,17,23,30
