current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,4,Ed Sheeran,Shivers,Atlantic,5,1,4
2,3,Glass Animals,Heat Waves,Polydor,24,2,3
3,2,The Kid Laroi / Justin Bieber,Stay,Columbia,14,1,2
4,5,Ed Sheeran,Bad Habits,Atlantic,16,1,5
5,7,Lost Frequencies / Calum Scott,Where Are You Now,RCA,9,5,7
6,6,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,5,6,6
7,8,Shouse,Love Tonight,Hell Beach,17,4,8
8,NA,RAF Camora,Guapa,Indipendenza,1,8,0
9,NA,Pietro Lombardi,Lüg mich an,Universal Domestic Polydor,1,9,0
10,9,Montez,Auf & ab,Universal Domestic Vertigo,11,1,9
11,1,Apache 207,Kapitel II Vodka (2sad2disco),Four Music / TwoSides,2,1,1
12,11,Pajel,10von10,Epic / DOPE,9,5,11
13,21,Elton John & Dua Lipa,Cold Heart,EMI,8,13,21
14,32,Lisa [KR],Money,YG Entertainment,2,14,32
15,10,Montez x Badmómzjay,Mond,Universal Domestic Vertigo,2,10,10
16,16,Lil Nas X & Jack Harlow,Industry Baby,Columbia,12,9,16
17,15,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,12,1,15
18,12,Hava,Moje sve,RCA,2,12,12
19,17,ART,Belgisches Viertel,23HOURS,7,13,17
20,13,Samra x Topic42 feat. Arash,Ich bin weg (Boro boro),Cataleya Edition,3,9,13
21,14,RAF Camora feat. Luciano,2CB,Indipendenza,5,1,14
22,NA,Kid Kapri & Florida Juicy,Mosaik,Recordjet,1,22,0
23,27,Farruko,Pepas,Epic,6,23,27
24,18,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,22,1,18
25,20,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,9,20,20
26,NA,Samra x Bojan,Raffaelo,Cataleya Edition,1,26,0
27,19,Tinlicker & Helsloot,Because You Move Me,Kontor Records,17,14,19
28,45,Jason Derulo,Acapulco,Warner,3,28,45
29,28,Milky Chance,Colorado,Muggelig Records GmbH,12,28,28
30,35,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,7,30,35
31,25,Nathan Evans,Wellerman,Polydor,38,1,25
32,22,Pashanim,Sommergewitter,Urban,16,1,22
33,24,Måneskin,Beggin',RCA,1,33,24
34,NA,1986zig & Kontra K,Keine Pause,Good Kid Records,1,34,0
35,30,Lil Nas X,Thats What I Want,Columbia,4,18,30
36,29,Doja Cat,Woman,RCA,10,18,29
37,33,Måneskin,I Wanna Be Your Slave,RCA,1,37,33
38,23,Zuna & Lune,Baby 2.0,KMN Gang,3,16,23
39,40,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,35,3,40
40,41,Laurell,Habit,FFMM GmbH,11,31,41
41,38,Lea,Wenn Du mich lässt,Four Music / Treppenhaus,8,22,38
42,39,The Weeknd,Take My Breath,Republic Records,10,18,39
43,36,Coldplay x BTS,My Universe,Parlophone Label Group,3,13,36
44,26,Nura,Fair,Universal Domestic Vertigo,4,26,26
45,31,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,8,2,31
46,47,Lil Nas X,Montero (Call Me By Your Name),Columbia,29,2,47
47,55,Dua Lipa,Love Again,Urban,5,47,55
48,43,Billie Eilish,Happier Than Ever,Interscope,11,23,43
49,42,Rubi,Ich will dich,Rubi Inc.,3,42,42
50,48,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,24,7,48
51,44,T-Low,Crashen,Spinnup,13,27,44
52,54,The Weeknd,Save Your Tears,Republic Records,39,5,54
53,51,Kungs,Never Going Home,Universal,6,47,51
54,65,Oliver Tree,Life Goes On,Atlantic,3,54,65
55,79,Jaymes Young,Infinity,Atlantic,2,55,79
56,66,J Balvin & Skrillex,In Da Getto,Sueños Globales,6,56,66
57,59,The Weeknd,Blinding Lights,Republic Records,98,1,59
58,61,atb x Topic x A7S,Your Love (9PM),Virgin Records,39,6,61
59,57,David Guetta / MistaJam / John Newman,If You Really Love Me (How Will I Know),Parlophone Label Group,13,40,57
60,NA,Måneskin,Mammamia,RCA,1,60,0
61,67,Tiësto,The Business,Atlantic,50,3,67
62,63,OneRepublic,Run,Interscope,23,19,63
63,62,Super-Hi x Neeka,Following The Sun,Blended,18,24,62
64,58,Endzone / TM,61 Grad,2Live Entertainment,10,25,58
65,37,Bonez MC,Eine Pille,187 Strassenbande,3,12,37
66,56,Badmómzjay,Sterne unterm Dach,Universal Domestic Vertigo,5,16,56
67,52,Kalim feat. Haftbefehl,Ozean,Urban,4,15,52
68,72,Apache 207,Roller,Four Music / TwoSides,111,1,72
69,NA,"Gringo, Summer Cem & OG",iiiiiii,Sony Music / SLS MUSIC,1,69,0
70,73,HBz,King Kong,Virgin Records,18,31,73
71,49,Loredana & Mozzik,Immer wenn es regnet,Loredana,3,19,49
72,50,Apache 207,Lamborghini Doors,Four Music / TwoSides,2,50,50
73,53,Dardan & Nimo,Para Drill,Hypnotize Entertainment,3,18,53
74,80,Bausa feat. Apache 207,Madonna,Warner Music Germany,34,1,80
75,82,Ofenbach feat. Lagique,Wasted Love,Elektra,33,12,82
76,NA,Deno419 x Eno,Xayîn,Unikat Musik,1,76,0
77,77,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,10,2,77
78,85,"01099 - Gustav, Zachi",Durstlöscher,01099,22,17,85
79,95,Tom Odell,Another Love,Columbia,93,11,95
80,90,Joel Corry feat. MNEK,Head & Heart,Atlantic,65,4,90
81,91,Mark Forster x Lea,Drei Uhr nachts,Four Music,27,15,91
82,NA,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,1,82,0
83,NA,Ra'is x Fero47,Heimweh,Groove Attack TraX,1,83,0
84,81,Ava Max,EveryTime I Cry,Atlantic,11,58,81
85,74,Blxst & Tyga feat. Ty Dolla $ign,Chosen,Red Bull Records,8,47,74
86,87,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,33,7,87
87,64,Lea,Parfum,Four Music / Treppenhaus,4,43,64
88,93,Dua Lipa,Levitating,Urban,30,16,93
89,97,24kGoldn feat. Iann Dior,Mood,Columbia,60,1,97
90,83,Shirin David,Lieben wir,Juicy Money Records,15,1,83
91,NA,Sophia,Niemals allein,Universal Domestic Vertigo,1,91,0
92,92,Lea x Casper,Schwarz,Four Music / Treppenhaus,15,7,92
93,76,Taylor Swift,Wildest Dreams,Universal,4,51,76
94,NA,MKTO,Classic,Sony Music,1,94,0
95,88,Billie Eilish,Bored,Interscope,3,88,88
96,100,Coldplay,Higher Power,Parlophone Label Group,23,35,100
97,71,Apache 207,2sad2disco (Kapitel I),Four Music / TwoSides,6,7,71
98,NA,Hemso feat. Olexesh,Gangster & Hustler,Supremos Musik,1,98,0
99,NA,Masked Wolf,Astronaut In The Ocean,Elektra,39,4,0
100,94,Jamule,Liege wieder wach,Life Is Pain,25,3,94
