current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Nina Chuba,Wildberry Lillet,SME - Jive,6,1,1
2,2,Miksu / MacLoud & Makko,Nachts wach,Futura,11,1,2
3,3,David Guetta & Bebe Rexha,I'm Good (Blue),Parlophone Label Group,4,3,3
4,6,DJ Robin & Schürze,Layla,Universal Domestic Polydor,19,1,6
5,7,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,17,4,7
6,NA,Yung Hurn,Alleine,Yung Hurn,1,6,0
7,8,Imanbek & BYOR,Belly Dancer,Musical Freedom,22,7,8
8,12,Rosa Linn,Snap,SME - Columbia,11,8,12
9,14,Tom Odell,Another Love,SME - Columbia,137,9,14
10,4,Bonez MC & RAF Camora feat. Gzuz,Taxi,187 Strassenbande,3,3,4
11,9,Liaze,Paradise,Ventura Records,13,2,9
12,15,Chris Brown,Under The Influence,SME - RCA,8,12,15
13,13,Luciano [DE],Beautiful Girl,Urban,21,1,13
14,18,Southstar,Miss You,SME - Columbia/B1,8,13,18
15,11,Harry Styles,As It Was,SME - Columbia,25,1,11
16,17,Kontra K feat. Sido & Leony,Follow,Letzte Woelfe,11,3,17
17,5,Bonez MC & RAF Camora,Eine Idee,187 Strassenbande,2,5,5
18,10,RIN & Schmyt,Sternenstaub,SME - GOLD LEAGUE,2,10,10
19,20,OneRepublic,I Ain't Worried,Interscope,14,19,20
20,16,Bonez MC / RAF Camora,Sommer,187 Strassenbande,7,3,16
21,21,Die Zipfelbuben feat. DJ Cashi,Olivia,Xtreme Sound Recordings,9,2,21
22,22,Ion Miles / SiraOne / BHZ,Powerade,SME - Sony Music / BHZ,22,2,22
23,25,Glass Animals,Heat Waves,Polydor,73,2,25
24,23,Domiziana,Ohne Benzin,SME - Four Music,18,1,23
25,24,Central Cee,Doja,Central Cee,9,19,24
26,NA,Capital Bra & Lucry & Suena,Musik,Urban,1,26,0
27,28,Öwnboss & Sevek,Move Your Body,Musical Freedom,27,11,28
28,26,Kate Bush,Running Up That Hill,EMI,36,3,26
29,27,Topic x A7S,Kernkraft 400 (A Better Day),Virgin Records,12,26,27
30,33,Rema,Calm Down,Mavin Records,4,30,33
31,NA,Blackpink,Shut Down,YG Entertainment,1,31,0
32,30,Miksu / MacLoud & T-Low,Sehnsucht,Futura,29,1,30
33,34,Nicki Minaj,Super Freaky Girl,Republic Records,6,33,34
34,NA,Azet & Zuna,Ohh oh,KMN Gang,1,34,0
35,38,Nicky Youre & Dazy,Sunroof,SME - Columbia,14,34,38
36,44,Eliza Rose & Interplanetary Criminal,B.O.T.A. (Baddest Of Them All),Warner Music International,3,36,44
37,31,Kamrad,I Believe,SME - Epic,31,20,31
38,51,Glockenbach / Ásdís,Dirty Dancing,Wefor,3,38,51
39,32,Ed Sheeran,Shivers,Atlantic,54,1,32
40,35,Farruko,Pepas,SME - Epic,55,11,35
41,19,Bonez MC & RAF Camora,Letztes Mal,187 Strassenbande,10,2,19
42,47,Kontra K,Nur für Dich,Letzte Woelfe,2,42,47
43,NA,Farid Bang,Baller,Farid Bang,1,43,0
44,46,Armani White,Billie Eilish,Armani White,4,44,46
45,NA,Samra,Dieses Leben...,Cataleya Edition,1,45,0
46,39,Julian Sommer,Dicht im Flieger,Electrola,25,7,39
47,NA,AnnenMayKantereit,3 Tage am Meer,AnnenMayKantereit Records,1,47,0
48,50,Britney Spears / Elton John,Hold Me Closer,EMI,4,31,50
49,37,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,58,5,37
50,45,Black Eyed Peas / Shakira + David Guetta,Don't You Worry,SME - Epic,7,43,45
51,43,Montez,Auf & ab,Universal Domestic Vertigo,60,1,43
