current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Nina Chuba,Wildberry Lillet,Jive,2,1,2
2,3,Miksu / MacLoud & Makko,Nachts wach,Futura,7,2,3
3,1,DJ Robin & Schürze,Layla,Universal Domestic Polydor,15,1,1
4,4,Liaze,Paradise,Ventura Records,9,2,4
5,6,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,13,5,6
6,5,Die Zipfelbuben,Olivia,Xtreme Sound Recordings,5,2,5
7,7,Bonez MC / RAF Camora,Sommer,187 Strassenbande,3,3,7
8,8,Luciano [DE],Beautiful Girl,Urban,17,1,8
9,9,Kontra K feat. Sido & Leony,Follow,Letzte Woelfe,7,3,9
10,10,Imanbek & BYOR,Belly Dancer,Musical Freedom,18,10,10
11,11,Harry Styles,As It Was,Columbia,21,1,11
12,12,Domiziana,Ohne Benzin,Four Music,14,1,12
13,13,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,18,2,13
14,14,Rosa Linn,Snap,Columbia,7,14,14
15,15,Kate Bush,Running Up That Hill,EMI,32,3,15
16,NA,Makar,Mood,Virgin Records,1,16,0
17,NA,Shindy,Mami Freestyle,Sony Music / SHINDY,1,17,0
18,31,Tom Odell,Another Love,Columbia,133,11,31
19,21,Central Cee,Doja,Central Cee,5,19,21
20,19,Glass Animals,Heat Waves,Polydor,69,2,19
21,18,Öwnboss & Sevek,Move Your Body,Musical Freedom,23,11,18
22,17,Miksu / MacLoud & T-Low,Sehnsucht,Futura,25,1,17
23,22,Southstar,Miss You,Columbia / B1,4,22,22
24,20,Farruko,Pepas,Epic,51,11,20
25,16,Julian Sommer,Dicht im Flieger,Electrola,21,7,16
26,25,Kamrad,I Believe,Epic,27,20,25
27,27,Topic x A7S,Kernkraft 400 (A Better Day),Virgin Records,8,27,27
28,38,Chris Brown,Under The Influence,RCA,4,28,38
29,24,T-Low & Miksu / Macloud,We Made It,Spinnup,18,1,24
30,40,OneRepublic,I Ain't Worried,Interscope,10,30,40
31,29,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,25,12,29
32,NA,Blackpink,Pink Venom,YG Entertainment,1,32,0
33,30,Lost Frequencies / Calum Scott,Where Are You Now,RCA,54,5,30
34,23,Andy Luxx / Bierkapitän / DJ Aaron,Lea,Electrola,2,23,23
35,33,Ed Sheeran,Shivers,Atlantic,50,1,33
36,26,Luciano [DE],Frozen Tears,Urban,4,8,26
37,37,Leony,Remedy,Kontor Records,28,5,37
38,34,Elton John & Dua Lipa,Cold Heart,EMI,53,3,34
39,28,Theo Junior,Ups & Downs,Theo Junior,6,14,28
40,35,Ary x Liaze,Ticket nach Ketama,Good Kid Records/VENTURA Records,5,16,35
41,32,Bonez MC & RAF Camora,Letztes Mal,187 Strassenbande,6,2,32
42,46,Benzz,Je m'appelle,Universal,15,22,46
43,61,Nicky Youre & Dazy,Sunroof,Columbia,10,43,61
44,54,Ed Sheeran,Bad Habits,Atlantic,61,1,54
45,39,Pashanim,Kleiner Prinz,Urban,7,4,39
46,50,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,17,13,50
47,NA,Dante YN,Kein wie mich,Epic,1,47,0
48,52,Endzone / TM,61 Grad,2Live Entertainment,40,25,52
49,55,Jason Derulo,Acapulco,Atlantic,48,18,55
50,41,Cro feat. Claudia Valentina,High,Urban,10,24,41
51,48,Montez,Auf & ab,Universal Domestic Vertigo,56,1,48
52,44,RIN,Commitment Issues,GOLD LEAGUE,6,9,44
53,80,Black Eyed Peas / Shakira + David Guetta,Don't You Worry,Epic,3,53,80
54,51,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,20,26,51
55,56,Tiësto & Ava Max,The Motto,Atlantic,42,10,56
56,49,Emilio,Ausmacht,Jive,12,5,49
57,58,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,28,12,58
58,53,Saim x Can,Tattoos,RBK,2,53,53
59,43,Mia Julia / Lorenz Büffel / Malle Anja,Der Zug hat keine Bremse,Electrola,8,33,43
60,62,Alvaro Soler x Topic,Solo para ti,Airforce1,8,60,62
61,45,Die Flippers,Wir sagen danke schön,Sony Music,8,29,45
62,65,The Kid Laroi / Justin Bieber,Stay,Columbia,59,1,65
63,64,Gayle,abcdefu,Atlantic,41,1,64
64,60,Shouse,Love Tonight,Hell Beach,62,4,60
65,79,Cheriimoya & Sierra Kidd,"Living Life, In The Night",Cheriimoya,3,65,79
66,57,Jax Jones & MNEK,Where Did You Go?,Polydor,22,27,57
67,75,Luude & Mattafix,Big City Life,Warner Music International,6,67,75
68,72,Nathan Evans,Wellerman,Polydor,83,1,72
69,96,Nicki Minaj,Super Freaky Girl,Republic Records,2,69,96
70,67,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,43,3,67
71,69,Felix Jaehn feat. Zoe Wees,Do It Better,Virgin Records,11,69,69
72,59,Azet & Zuna feat. Dhurata Dora,OEO,KMN Gang,3,59,59
73,63,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,16,28,63
74,77,Shawn Mendes,When You're Gone,Island,21,37,77
75,81,Imagine Dragons x JID,Enemy,Interscope,43,4,81
76,73,Pashanim,Sommergewitter,Urban,60,1,73
77,74,Lea x 01099,Eigentlich,Sony Music / Treppenhaus Records,6,19,74
78,91,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,32,1,91
79,36,"BHZ, Monk, Longus Mongus, Ion Miles, Big Pat & Dead Dawg",Runnin,BHZ,2,36,36
80,47,Montez,Keine Antwort,Universal Domestic Vertigo,2,47,47
81,85,Tiësto & Charli XCX,Hot In It,Atlantic,4,81,85
82,66,PA Sports,Heaven,Life Is Pain,5,17,66
83,84,Jaymes Young,Infinity,Atlantic,45,11,84
84,70,Olexesh,Maria Maria,385ideal,3,31,70
85,82,Alvaro Soler / Ray Dalton,Manila,Epic,29,23,82
86,86,The Weeknd,Save Your Tears,Republic Records,83,5,86
87,68,Beyoncé,Break My Soul,Columbia,6,42,68
88,92,Elley Duhé,Middle Of The Night,RCA,37,31,92
89,76,Sofia Carson,Come Back Home,Hollywood Records,3,76,76
90,87,YouNotUs / Louis III,Samba,Guesstimate,2,87,87
91,95,Marshmello / Khalid,Numb,RCA,2,91,95
92,94,Civo,Weg von mir,Good Kid Records/VENTURA Records,30,4,94
93,88,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,56,1,88
94,NA,Nathan Dawe feat. Ella Henderson,21 Reasons,Atlantic,8,66,0
95,98,Lizzo,About Damn Time,Atlantic,16,34,98
96,89,Panic! At The Disco,House Of Memories,Fueled By Ramen,18,12,89
97,90,Calvin Harris & Dua Lipa,One Kiss,Sony Music,53,1,90
98,93,Jack Harlow,First Class,Atlantic,20,2,93
99,NA,Lady Gaga,Hold My Hand,Interscope,12,79,0
