current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Luciano [DE],Beautiful Girl,Urban,6,1,1
2,2,Domiziana,Ohne Benzin,Four Music,3,2,2
3,7,DJ Robin & Schürze,Layla,Summerfield Records,4,3,7
4,14,Kate Bush,Running Up That Hill,EMI,21,3,14
5,NA,Emilio,Ausmacht,Jive,1,5,0
6,3,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,7,2,3
7,4,Harry Styles,As It Was,Columbia,10,1,4
8,5,Miksu / MacLoud & T-Low,Sehnsucht,Futura,14,1,5
9,6,T-Low & Miksu / Macloud,We Made It,Spinnup,7,1,6
10,NA,Farid Bang & Capital Bra x Sanna,Beretta,Banger Musik,1,10,0
11,8,Glass Animals,Heat Waves,Polydor,58,2,8
12,11,Öwnboss & Sevek,Move Your Body,Musical Freedom,12,11,11
13,16,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,6,13,16
14,9,Jack Harlow,First Class,Atlantic,9,2,9
15,10,Leony,Remedy,Kontor Records,17,5,10
16,18,Farruko,Pepas,Epic,40,11,18
17,NA,Kontra K,Wieder 2015,Letzte Woelfe,1,17,0
18,15,Lost Frequencies / Calum Scott,Where Are You Now,RCA,43,5,15
19,13,Tiësto & Ava Max,The Motto,Atlantic,31,10,13
20,12,Panic! At The Disco,House Of Memories,Fueled By Ramen,7,12,12
21,17,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,14,12,17
22,20,Elton John & Dua Lipa,Cold Heart,EMI,42,3,20
23,34,Julian Sommer,Dicht im Flieger,Electrola,10,23,34
24,27,The Ironix & Nullzweizwei,Coachella,Between Worlds,2,24,27
25,21,Ed Sheeran,Shivers,Atlantic,39,1,21
26,NA,Symba,Tmm ich beschütz dich,Columbia,1,26,0
27,NA,Samra,Eismond,Cataleya Edition,1,27,0
28,33,Imanbek & BYOR,Belly Dancer,Musical Freedom,7,28,33
29,25,Benzz,Je m'appelle,Universal,4,25,25
30,24,Malik Harris,Rockstars,Better Now Records,10,8,24
31,NA,"Luis, Tym & T-Low",Bisschen high,Luis,1,31,0
32,22,Gayle,abcdefu,Atlantic,30,1,22
33,19,Rammstein,Dicke Titten,Rammstein,3,19,19
34,32,Jax Jones & MNEK,Where Did You Go?,Polydor,11,27,32
35,23,ClockClock,Sorry,Wefor,11,18,23
36,29,Ed Sheeran,Bad Habits,Atlantic,50,1,29
37,45,Kamrad,I Believe,Epic,16,37,45
38,30,Civo,Weg von mir,Good Kid Records/VENTURA Records,19,4,30
39,28,Tom Odell,Another Love,Columbia,122,11,28
40,31,Imagine Dragons x JID,Enemy,Interscope,32,4,31
41,44,Shouse,Love Tonight,Hell Beach,51,4,44
42,41,The Kid Laroi / Justin Bieber,Stay,Columbia,48,1,41
43,43,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,17,12,43
44,37,Lizzo,About Damn Time,Atlantic,5,34,37
45,36,Elley Duhé,Middle Of The Night,RCA,26,31,36
46,40,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,32,3,40
47,38,Alvaro Soler / Ray Dalton,Manila,Epic,18,23,38
48,88,James Hype & Miggy Dela Rosa,Ferrari,The Cross,2,48,88
49,39,Jaymes Young,Infinity,Atlantic,34,11,39
50,42,Romero [DE],Sie liebt Techno,Epic,7,34,42
51,60,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,5,51,60
52,46,Jason Derulo,Acapulco,Atlantic,37,18,46
53,51,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,45,1,51
54,NA,Dardan x Noizy,Bandita,Hypnotize Entertainment,1,54,0
55,55,Tate McRae,She's All I Wanna Be,RCA,15,55,55
56,53,Nathan Evans,Wellerman,Polydor,72,1,53
57,NA,1986zig x Ayliva,1000 Sterne,Good Kid Records/VENTURA Records,1,57,0
58,57,Endzone / TM,61 Grad,2Live Entertainment,29,25,57
59,NA,Post Malone feat. Doja Cat,I Like You (A Happier Song),Republic Records,1,59,0
60,61,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,9,45,61
61,52,Montez,Auf & ab,Universal Domestic Vertigo,45,1,52
62,49,Måneskin,Supermodel,RCA,4,49,49
63,NA,Cro,Freiheit,Urban,1,63,0
64,63,Luude feat. Colin Hay,Down Under,Sweat It Out,21,9,63
65,58,T-Low,Crashen,Spinnup,26,27,58
66,64,Pashanim,Sommergewitter,Urban,49,1,64
67,NA,Post Malone feat. Roddy Ricch,Cooped Up,Mercury,3,54,0
68,47,Badmómzjay x Bozza x Kool Savas x Sido,Nie mehr zurück,Def Jam Germany,3,24,47
69,59,Lil Nas X,Thats What I Want,Columbia,37,11,59
70,NA,Olexesh feat. Pajel,Weit gebracht,385ideal,1,70,0
71,54,Kanye West & XXXTentacion,True Love,Columbia,2,54,54
72,80,SDP feat. 257ers,Scheiße baut sich nicht von alleine,Nur Musik ist schöner,6,52,80
73,62,Rammstein,Zeit,Rammstein,13,1,62
74,NA,Snap!,Rhythm Is A Dancer,BMG,36,1,0
75,71,The Weeknd,Save Your Tears,Republic Records,72,5,71
76,26,"Loredana, Céline & Miksu / Macloud",Ballade,Loredana,2,26,26
77,67,Dardan x RAF Camora,Obsessed,Hypnotize Entertainment,5,8,67
78,68,Glockenbach x ClockClock,Brooklyn,Wefor,23,26,68
79,69,Shouse,Won't Forget You,Hell Beach,12,36,69
80,75,OneRepublic,Sunshine,Interscope,8,63,75
81,66,Rammstein,Zick zack,Rammstein,9,1,66
82,79,Shawn Mendes,When You're Gone,Island,10,37,79
83,NA,Harry Styles,Late Night Talking,Columbia,1,83,0
84,65,Ed Sheeran feat. Lil Baby,2step,Atlantic,7,41,65
