current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Miksu / MacLoud & T-Low,Sehnsucht,Futura,3,1,2
2,3,Glass Animals,Heat Waves,Polydor,47,2,3
3,5,Gayle,abcdefu,Atlantic,19,1,5
4,4,Civo,Weg von mir,Good Kid Records/VENTURA Records,8,4,4
5,7,Leony,Remedy,Kontor Records,6,5,7
6,NA,Luciano [DE],Majestic,Urban,1,6,0
7,6,Lost Frequencies / Calum Scott,Where Are You Now,RCA,32,5,6
8,NA,Kontra K,Für den Himmel durch die Hölle,Letzte Woelfe,1,8,0
9,9,Imagine Dragons x JID,Enemy,Interscope,21,4,9
10,8,Ed Sheeran,Shivers,Atlantic,28,1,8
11,10,Elton John & Dua Lipa,Cold Heart,EMI,31,3,10
12,12,Tiësto & Ava Max,The Motto,Atlantic,20,10,12
13,13,Jaymes Young,Infinity,Atlantic,23,13,13
14,11,1986zig,Kopf aus,Universal Domestic Polydor,8,3,11
15,14,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,21,3,14
16,15,Luude feat. Colin Hay,Down Under,Sweat It Out,10,9,15
17,17,The Kid Laroi / Justin Bieber,Stay,Columbia,37,1,17
18,19,Farruko,Pepas,Epic,29,11,19
19,16,Ed Sheeran,Bad Habits,Atlantic,39,1,16
20,NA,Pietro Lombardi,Ich lass dich nicht los,Universal Domestic Polydor,1,20,0
21,31,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,6,21,31
22,1,Rammstein,Zeit,Rammstein,2,1,1
23,18,Sido,Mit Dir,Urban,18,3,18
24,22,Jason Derulo,Acapulco,Atlantic,26,18,22
25,28,Tom Odell,Another Love,Columbia,111,11,28
26,21,Lil Nas X,Thats What I Want,Columbia,26,11,21
27,26,Montez,Auf & ab,Universal Domestic Vertigo,34,1,26
28,20,Fourty & Mathea,Wenn Du mich vermisst,Life Is Pain,6,18,20
29,27,Shouse,Love Tonight,Hell Beach,40,4,27
30,25,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,4,15,25
31,32,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,3,31,32
32,34,Alvaro Soler / Ray Dalton,Manila,Epic,7,32,34
33,29,Glockenbach x ClockClock,Brooklyn,Wefor,12,26,29
34,39,Ayliva,Schmetterlinge,Whiteheart Records,2,34,39
35,41,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,13,28,41
36,33,Pajel,10von10,Epic / DOPE,31,2,33
37,30,Dove Cameron,Boyfriend,Columbia,6,26,30
38,38,Nathan Evans,Wellerman,Polydor,61,1,38
39,42,Elley Duhé,Middle Of The Night,RCA,15,39,42
40,NA,Morpheuz & KC Rebell,Ich bin unterwegs,Rebell Army,1,40,0
41,36,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,19,1,36
42,45,The Weeknd,Save Your Tears,Republic Records,61,5,45
43,NA,Montez,Gehen oder bleiben,Universal Domestic Vertigo,1,43,0
44,49,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,34,1,49
45,43,Lil Nas X & Jack Harlow,Industry Baby,Columbia,35,9,43
46,35,Mero feat. Jamule,Rapstars,Urban,3,10,35
47,24,Luciano [DE],Sweet Dreams,Urban,3,24,24
48,46,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,20,14,46
49,52,Gzuz,Späti,187 Strassenbande,23,4,52
50,59,Topic x Robin Schulz x Nico Santos x Paul van Dyk,In Your Arms (For An Angel),Virgin Records,8,36,59
51,51,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,45,1,51
52,NA,Maxwell,Diskothek,187 Strassenbande,1,52,0
53,47,Alle Farben feat. Kiddo,Alright,Warner Music Germany,14,37,47
54,61,Coldplay x BTS,My Universe,Parlophone Label Group,26,13,61
55,NA,Demi Lovato,Cool For The Summer,Universal,1,55,0
56,55,The Weeknd,Blinding Lights,Republic Records,120,1,55
57,58,Pashanim,Sommergewitter,Urban,38,1,58
58,40,187 Strassenbande,187 Allstars '22,187 Strassenbande,4,3,40
59,48,Adele,Easy On Me,Columbia,23,1,48
60,54,Tinlicker & Helsloot,Because You Move Me,Kontor Records,39,14,54
61,57,Pashanim,Paris Freestyle,Urban,22,3,57
62,56,Jnr Choi,To The Moon,Epic,8,24,56
63,68,Ed Sheeran,Overpass Graffiti,Atlantic,18,17,68
64,62,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,30,20,62
65,66,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,57,3,66
66,NA,Albi & Azet,Habibi,Albi,1,66,0
67,NA,Samra x Anonym x Bojan,Money On My Mind,Cataleya Edition,1,67,0
68,NA,Machine Gun Kelly feat. Bring Me The Horizon,Maybe,Bad Boy Entertainment,1,68,0
69,60,Art [DE],Belgisches Viertel,23HOURS,29,13,60
70,74,Charlie Puth,Light Switch,Atlantic,5,70,74
71,64,Eminem,Without Me,Interscope,32,1,64
72,69,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,28,6,69
73,50,Katja Krasavice,Onlyfans,Katja Krasavice,6,2,50
74,65,The Neighbourhood,Softcore,Columbia,11,45,65
75,67,Michael Patrick Kelly,Blurry Eyes,Columbia,12,45,67
76,NA,AnnenMayKantereit feat. Giant Rooks,Tom's Diner,Universal Domestic Vertigo,1,76,0
77,77,Apache 207,Roller,Four Music / Two Sides,129,1,77
78,NA,Esther Graf / Monet192,Nie begegnet,RCA,1,78,0
79,72,Frank Ocean,Lost,Island,11,69,72
80,75,Kamrad,I Believe,Kamrad,5,75,75
81,90,Doja Cat,Woman,RCA,25,18,90
82,NA,Shouse,Won't Forget You,Hell Beach,1,82,0
83,NA,A1 x J1 & Tion Wayne,Night Away (Dance),EMI,1,83,0
84,81,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us,Macklemore,90,2,81
85,79,Måneskin,Beggin',RCA,40,1,79
86,100,George Ezra,Anyone For You (Tiger Lily),Columbia,2,86,100
87,80,Endzone / TM,61 Grad,2Live Entertainment,18,25,80
88,NA,Öwnboss & Sevek,Move Your Body,Musical Freedom,1,88,0
89,86,Tiësto,The Business,Atlantic,68,3,86
90,95,Daft Punk feat. Pharrell Williams,Get Lucky,Columbia,57,1,95
91,82,atb x Topic x A7S,Your Love (9PM),Virgin Records,57,6,82
92,83,Dr. Dre feat. Snoop Dogg,Still D.R.E.,Universal,6,38,83
93,70,Luna [DE],Hausflur,Four Music / Treppenhaus,4,56,70
94,84,Tones And I,Dance Monkey,Elektra,122,1,84
95,85,BoyWithUke,Toxic,Republic Records,20,29,85
96,96,Tate McRae,She's All I Wanna Be,RCA,4,62,96
97,87,Laurell,Habit,FFMM GmbH,30,31,87
98,99,Alesso & Katy Perry,When I'm Gone,10:22 PM,2,98,99
99,73,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,23,34,73
100,94,Gabry Ponte x LUM!X x Prezioso,Thunder,Spinnin' Records,12,79,94
