current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Gayle,abcdefu,Atlantic,13,1,1
2,2,Glass Animals,Heat Waves,Polydor,41,2,2
3,7,Sido,Mit Dir,Urban,12,3,7
4,3,Ed Sheeran,Shivers,Atlantic,22,1,3
5,13,1986zig,Kopf aus,Universal Domestic Polydor,2,5,13
6,6,Imagine Dragons x JID,Enemy,Interscope,15,4,6
7,5,Elton John & Dua Lipa,Cold Heart,EMI,25,3,5
8,8,Lost Frequencies / Calum Scott,Where Are You Now,RCA,26,5,8
9,12,Luude feat. Colin Hay,Down Under,Sweat It Out,4,9,12
10,9,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,15,3,9
11,11,The Kid Laroi / Justin Bieber,Stay,Columbia,31,1,11
12,19,Lil Nas X,Thats What I Want,Columbia,20,12,19
13,10,Pajel,10von10,Epic / DOPE,25,2,10
14,16,Tiësto & Ava Max,The Motto,Atlantic,14,14,16
15,14,Farruko,Pepas,Epic,23,11,14
16,15,Ed Sheeran,Bad Habits,Atlantic,33,1,15
17,20,Jaymes Young,Infinity,Atlantic,17,17,20
18,17,Montez,Auf & ab,Universal Domestic Vertigo,28,1,17
19,4,Pietro Lombardi,Vorbei,Universal Domestic Polydor,2,4,4
20,NA,"Capital Bra, Mvna & Art",Quit,Urban,1,20,0
21,21,Jason Derulo,Acapulco,Atlantic,20,18,21
22,22,Shouse,Love Tonight,Hell Beach,34,4,22
23,18,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,13,1,18
24,24,Jnr Choi,To The Moon,Epic,2,24,24
25,23,Adele,Easy On Me,Columbia,17,1,23
26,29,Glockenbach x ClockClock,Brooklyn,Wefor,6,26,29
27,26,Nathan Evans,Wellerman,Polydor,55,1,26
28,30,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,7,28,30
29,54,Civo,Weg von mir,Recordjet,2,29,54
30,41,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,14,14,41
31,31,Lil Nas X & Jack Harlow,Industry Baby,Columbia,29,9,31
32,28,Kool Savas x Alies,King,Sony Music / Essah Media GmbH,7,27,28
33,32,Gzuz,Späti,187 Strassenbande,17,4,32
34,33,Coldplay x BTS,My Universe,Parlophone Label Group,20,13,33
35,35,Pashanim,Paris Freestyle,Urban,16,3,35
36,58,Yung Lean,Ginseng strip 2002,Year0001,2,36,58
37,42,Alle Farben feat. Kiddo,Alright,Warner Music Germany,8,37,42
38,34,Gunna & Future feat. Young Thug,Pushin P,300 Entertainment,3,34,34
39,38,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,39,1,38
40,37,The Weeknd,Save Your Tears,Republic Records,55,5,37
41,55,Art [DE],Belgisches Viertel,23HOURS,23,13,55
42,44,Tom Odell,Another Love,Columbia,105,11,44
43,39,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,22,6,39
44,NA,Jamin x Nimo,Triple Threat,Good Kid Records/VENTURA Records,1,44,0
45,49,The Neighbourhood,Softcore,Columbia,5,45,49
46,45,Michael Patrick Kelly,Blurry Eyes,Columbia,6,45,45
47,40,BoyWithUke,Toxic,BoyWithUke,14,29,40
48,43,The Weeknd,Blinding Lights,Republic Records,114,1,43
49,50,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,17,34,50
50,NA,Olexesh,UDSSR,385ideal,1,50,0
51,48,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,24,20,48
52,NA,Mario Novembre,Fucked Up,Green Elephant Records,1,52,0
53,56,Tinlicker & Helsloot,Because You Move Me,Kontor Records,33,14,56
54,36,Topic x Robin Schulz x Nico Santos x Paul van Dyk,In Your Arms (For An Angel),Virgin Records,2,36,36
55,NA,Juice WRLD,Cigarettes,Grade A Productions,1,55,0
56,52,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,51,3,52
57,27,Art [DE],Nebel,23HOURS,2,27,27
58,53,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,28,1,53
59,59,Pashanim,Sommergewitter,Urban,32,1,59
60,61,Måneskin,Beggin',RCA,34,1,61
61,68,Ed Sheeran,Overpass Graffiti,Atlantic,12,17,68
62,NA,Tate McRae,She's All I Wanna Be,RCA,1,62,0
63,46,KC Rebell,Mogli,Rebell Army,4,17,46
64,NA,Kid Kapri,Tag eins,Columbia / kid kapri,1,64,0
65,57,Ufo361 & Pashanim,Allein allein,ADS THC,7,13,57
66,63,The Weeknd,Sacrifice,Republic Records,5,27,63
67,NA,Red Hot Chili Peppers,Black Summer,Warner Music International,1,67,0
68,77,Elley Duhé,Middle Of The Night,RCA,9,68,77
69,67,OneRepublic,Run,Interscope,34,19,67
70,73,Apache 207,Roller,Four Music / Two Sides,123,1,73
71,75,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz",We Don't Talk About Bruno,Walt Disney,4,71,75
72,96,Eminem,Without Me,Interscope,26,1,96
73,64,Milky Chance,Colorado,Muggelig Records GmbH,28,28,64
74,76,Tiësto,The Business,Atlantic,62,3,76
75,47,"Gzuz / RAF Camora, Luciano",Alles black,187 Strassenbande,4,8,47
76,82,atb x Topic x A7S,Your Love (9PM),Virgin Records,51,6,82
77,78,Tones And I,Dance Monkey,Bad Batch Records,116,1,78
78,NA,Frank Ocean,Lost,Island,5,78,0
