current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Shindy,Mandarinen,SME - Sony Music / Friends With Money,1,1,0
2,1,The Kid Laroi / Justin Bieber,Stay,SME - Columbia,9,1,1
3,NA,ABBA,I Still Have Faith In You,Polydor,1,3,0
4,2,Ed Sheeran,Bad Habits,Atlantic,11,1,2
5,NA,ABBA,Don't Shut Me Down,Universal,1,5,0
6,3,Montez,Auf & ab,Universal Domestic Vertigo,6,1,3
7,NA,Apache 207,2sad2disco (Kapitel I),SME - Four Music / TwoSides,1,7,0
8,5,Pajel,10von10,SME - Epic / DOPE,4,5,5
9,4,Shouse,Love Tonight,Hell Beach,12,4,4
10,6,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,7,1,6
11,13,Glass Animals,Heat Waves,Polydor,19,11,13
12,7,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,3,2,7
13,9,Lil Nas X & Jack Harlow,Industry Baby,SME - Columbia,7,9,9
14,8,Pashanim,Sommergewitter,Urban,11,1,8
15,17,ART,Belgisches Viertel,23HOURS,2,15,17
16,10,Måneskin,Beggin',SME - RCA,14,1,10
17,11,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,17,1,11
18,NA,Broilers,Alice und Sarah,Skull & Palms Recordings,1,18,0
19,16,Tinlicker & Helsloot,Because You Move Me,Kontor Records,12,14,16
20,15,Justin Wellington and Small Jam,Iko Iko,SME - Columbia / B1,19,7,15
21,18,Doja Cat,Woman,SME - RCA,5,18,18
22,14,Måneskin,I Wanna Be Your Slave,SME - RCA,16,3,14
23,30,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,5,2,30
24,28,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,4,24,28
25,19,Nathan Evans,Wellerman,Polydor,33,1,19
26,23,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),SME - Columbia,30,3,23
27,39,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,4,27,39
28,27,T-Low,Crashen,Spinnup,8,27,27
29,12,Loredana x Mozzik,Mit mir,Loredana,2,12,12
30,29,Lea,Wenn Du mich lässt,SME - Four Music / Treppenhaus,3,22,29
31,34,Laurell,Habit,FFMM GmbH,6,31,34
32,25,Endzone / TM,61 Grad,2Live Entertainment,5,25,25
33,35,Milky Chance,Colorado,Muggelig Records GmbH,7,32,35
34,26,The Weeknd,Take My Breath,Republic Records,5,18,26
35,32,Lil Nas X,Montero (Call Me By Your Name),SME - Columbia,24,2,32
36,NA,Ufo361,Engel,Stay High,1,36,0
37,37,Kanye West feat. The Weeknd & Lil Baby,Hurricane,Getting Out Our Dreams Inc.,2,37,37
38,33,Shirin David,Lieben wir,Juicy Money Records,10,1,33
39,21,Eno feat. Luciano,Vollmond,Crü,2,21,21
40,38,The Weeknd,Save Your Tears,Republic Records,34,5,38
41,36,OneRepublic,Run,Interscope,18,19,36
42,40,Super-Hi x Neeka,Following The Sun,Blended,13,24,40
43,42,Billie Eilish,Happier Than Ever,Interscope,6,23,42
44,NA,Alligatoah,Nebenjob,Trailerpark,1,44,0
45,47,atb x Topic x A7S,Your Love (9PM),Virgin Records,34,6,47
46,46,HBz,King Kong,Virgin Records,13,31,46
47,59,Blxst & Tyga feat. Ty Dolla $ign,Chosen,Red Bull Records,3,47,59
48,49,Mark Forster x Lea,Drei Uhr nachts,SME - Four Music,22,15,49
