current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Apache 207,2sad2disco (Kapitel II),Four Music / TwoSides,1,1,0
2,1,The Kid Laroi / Justin Bieber,Stay,Columbia,13,1,1
3,3,Glass Animals,Heat Waves,Polydor,23,3,3
4,4,Ed Sheeran,Shivers,Atlantic,4,4,4
5,2,Ed Sheeran,Bad Habits,Atlantic,15,1,2
6,7,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,4,6,7
7,6,Lost Frequencies / Calum Scott,Where Are You Now,RCA,8,6,6
8,8,Shouse,Love Tonight,Hell Beach,16,4,8
9,5,Montez,Auf & ab,Universal Domestic Vertigo,10,1,5
10,NA,Montez & Badmómzjay,Mond,Universal Domestic Vertigo,1,10,0
11,10,Pajel,10von10,Epic / DOPE,8,5,10
12,NA,Hava,Moje sve,RCA,1,12,0
13,9,Samra x Topic42 feat. Arash,Ich bin weg (Boro boro),Cataleya Edition,2,9,9
14,11,RAF Camora feat. Luciano,2CB,Indipendenza,4,1,11
15,14,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,11,1,14
16,15,Lil Nas X & Jack Harlow,Industry Baby,Columbia,11,9,15
17,17,ART,Belgisches Viertel,23HOURS,6,13,17
18,20,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,21,1,20
19,22,Tinlicker & Helsloot,Because You Move Me,Kontor Records,16,14,22
20,23,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,8,20,23
21,32,Elton John & Dua Lipa,Cold Heart,EMI,7,21,32
22,21,Pashanim,Sommergewitter,Urban,15,1,21
23,16,Zuna & Lune,Baby 2.0,KMN Gang,2,16,16
24,24,Måneskin,Beggin',RCA,18,1,24
25,26,Nathan Evans,Wellerman,Polydor,37,1,26
26,28,Nura,Fair,Universal Domestic Vertigo,3,26,28
27,38,Farruko,Pepas,Epic,5,27,38
28,33,Milky Chance,Colorado,Muggelig Records GmbH,11,28,33
29,27,Doja Cat,Woman,RCA,9,18,27
30,29,Lil Nas X,Thats What I Want,Columbia,3,18,29
31,30,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,7,2,30
32,NA,Lisa [KR],Money,YG Entertainment,1,32,0
33,31,Måneskin,I Wanna Be Your Slave,RCA,20,3,31
34,NA,RAF Camora,DNA,Indipendenza,1,34,0
35,49,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,6,35,49
36,13,Coldplay x BTS,My Universe,Parlophone Label Group,2,13,13
37,12,Bonez MC,Eine Pille,187 Strassenbande,2,12,12
38,34,Lea,Wenn Du mich lässt,Four Music / Treppenhaus,7,22,34
39,41,The Weeknd,Take My Breath,Republic Records,9,18,41
40,37,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,34,3,37
41,39,Laurell,Habit,FFMM GmbH,10,31,39
42,54,Rubi,Ich will dich,Rubi Inc.,2,42,54
43,46,Billie Eilish,Happier Than Ever,Interscope,10,23,46
44,35,T-Low,Crashen,Spinnup,12,27,35
45,56,Jason Derulo,Acapulco,Warner,2,45,56
46,NA,Jamule,Intro [Magic],Life Is Pain,1,46,0
47,36,Lil Nas X,Montero (Call Me By Your Name),Columbia,28,2,36
48,42,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,23,7,42
49,19,Loredana & Mozzik,Immer wenn es regnet,Loredana,2,19,19
50,NA,Apache 207,Lamborghini Doors,Four Music / TwoSides,1,50,0
51,47,Kungs,Never Going Home,Universal,5,47,47
52,25,Kalim feat. Haftbefehl,Ozean,Urban,3,15,25
53,18,Dardan & Nimo,Para Drill,Hypnotize Entertainment,2,18,18
54,48,The Weeknd,Save Your Tears,Republic Records,38,5,48
55,84,Dua Lipa,Love Again,Urban,4,55,84
56,45,Badmómzjay,Sterne unterm Dach,Universal Domestic Vertigo,4,16,45
57,50,David Guetta / MistaJam / John Newman,If You Really Love Me (How Will I Know),Parlophone Label Group,12,40,50
58,51,Endzone / TM,61 Grad,2Live Entertainment,9,25,51
59,62,The Weeknd,Blinding Lights,Republic Records,97,1,62
60,NA,Summer Cem x Billa Joe x Kozikoza x Faroon,Ice Cubes,GOLD LEAGUE / OG Scrpngang GmbH,1,60,0
61,60,atb x Topic x A7S,Your Love (9PM),Virgin Records,38,6,60
62,58,Super-Hi x Neeka,Following The Sun,Blended,17,24,58
63,59,OneRepublic,Run,Interscope,22,19,59
64,63,Lea,Parfum,Four Music / Treppenhaus,3,43,63
65,89,Oliver Tree,Life Goes On,Atlantic,2,65,89
66,67,J Balvin & Skrillex,In Da Getto,Sueños Globales,5,66,67
67,66,Tiësto,The Business,Atlantic,49,3,66
68,40,Milano,Leer,C'est Milano,2,40,40
69,NA,Achtabahn x Kayef,Du bist weg,Universal Domestic Polydor,1,69,0
70,NA,Monet192,Feuer,Warner Music Germany,1,70,0
71,55,Apache 207,2sad2disco (Kapitel I),Four Music / TwoSides,5,7,55
72,80,Apache 207,Roller,Four Music / TwoSides,110,1,80
73,69,HBz,King Kong,Virgin Records,17,31,69
74,61,Blxst & Tyga feat. Ty Dolla $ign,Chosen,Red Bull Records,7,47,61
75,44,KC Rebell & Gzuz,Polizei,Rebell Army,3,14,44
76,52,Taylor Swift,Wildest Dreams,Universal,3,51,52
77,70,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,9,2,70
78,43,AK Ausserkontrolle,Gut im Geschäft,XY Records,3,17,43
79,NA,Jaymes Young,Infinity,Atlantic,1,79,0
80,75,Bausa feat. Apache 207,Madonna,Warner Music Germany,33,1,75
81,74,Ava Max,EveryTime I Cry,Atlantic,10,58,74
82,73,Ofenbach feat. Lagique,Wasted Love,Elektra,32,12,73
83,68,Shirin David,Lieben wir,Juicy Money Records,14,1,68
84,NA,"Skylar Grey feat. Polo G, Mozzy & Eminem",Last One Standing,Interscope,1,84,0
85,72,"01099 - Gustav, Zachi",Durstlöscher,01099,21,17,72
86,57,Drake feat. Travis Scott,Fair Trade,Ovo,3,45,57
