current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,3,The Kid Laroi / Justin Bieber,Stay,SME - Columbia,8,1,3
2,5,Ed Sheeran,Bad Habits,Atlantic,10,1,5
3,4,Montez,Auf & ab,Universal Domestic Vertigo,5,1,4
4,6,Shouse,Love Tonight,Hell Beach,11,4,6
5,13,Pajel,10von10,SME - Epic / DOPE,3,5,13
6,7,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,6,1,7
7,2,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,2,2,2
8,8,Pashanim,Sommergewitter,Urban,10,1,8
9,11,Lil Nas X & Jack Harlow,Industry Baby,SME - Columbia,6,9,11
10,9,Måneskin,Beggin',SME - RCA,13,1,9
11,10,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,16,1,10
12,NA,Loredana x Mozzik,Mit mir,Loredana,1,12,0
13,31,Glass Animals,Heat Waves,Polydor,18,13,31
14,15,Måneskin,I Wanna Be Your Slave,SME - RCA,15,3,15
15,14,Justin Wellington and Small Jam,Iko Iko,SME - Columbia / B1,18,7,14
16,16,Tinlicker & Helsloot,Because You Move Me,Kontor Records,11,14,16
17,NA,ART,Belgisches Viertel,23HOURS,1,17,0
18,20,Doja Cat,Woman,SME - RCA,4,18,20
19,18,Nathan Evans,Wellerman,Polydor,32,1,18
20,NA,Ufo361,Ryu,Stay High,1,20,0
21,NA,Eno feat. Luciano,Vollmond,Crü,1,21,0
22,1,Metallica,Enter Sandman,Mercury,18,1,1
23,19,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),SME - Columbia,29,3,19
24,NA,Dardan & Nimo,B.I.B.O.,Hypnotize Entertainment,1,24,0
25,30,Endzone / TM,61 Grad,2Live Entertainment,4,25,30
26,25,The Weeknd,Take My Breath,Republic Records,4,18,25
27,28,T-Low,Crashen,Spinnup,7,27,28
28,32,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,3,28,32
29,22,Lea,Wenn Du mich lässt,SME - Four Music / Treppenhaus,2,22,22
30,21,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,4,2,21
31,NA,Capital Bra / NGEE,Hops,Urban,1,31,0
32,29,Lil Nas X,Montero (Call Me By Your Name),SME - Columbia,23,2,29
33,26,Shirin David,Lieben wir,Juicy Money Records,9,1,26
34,48,Laurell,Habit,FFMM GmbH,5,34,48
35,33,Milky Chance,Colorado,Muggelig Records GmbH,6,32,33
36,36,OneRepublic,Run,Interscope,17,19,36
37,NA,Kanye West feat. The Weeknd & Lil Baby,Hurricane,Getting Out Our Dreams Inc.,1,37,0
38,35,The Weeknd,Save Your Tears,Republic Records,33,5,35
39,68,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,3,39,68
40,34,Super-Hi x Neeka,Following The Sun,Blended,12,24,34
41,12,Samra x Bojan,Paradies,Cataleya Edition,2,12,12
42,38,Billie Eilish,Happier Than Ever,Interscope,5,23,38
43,42,"01099 - Gustav, Zachi",Durstlöscher,01099,16,17,42
44,NA,KC Rebell,Money Movez,Rebell Army,1,44,0
45,NA,Kianush / PA Sports feat. Jamule,Rockstars,Life Is Pain,1,45,0
46,41,HBz,King Kong,Virgin Records,12,31,41
47,43,atb x Topic x A7S,Your Love (9PM),Virgin Records,33,6,43
48,45,Lune,Hab nur eine Bitte.,Warner Music Germany,4,15,45
49,49,Mark Forster x Lea,Drei Uhr nachts,SME - Four Music,21,15,49
50,44,Shirin David,Ich darf das,Juicy Money Records,16,1,44
51,40,Wes Nelson & Yxng Bane,Nice To Meet Ya,EMI,14,5,40
52,51,Jamule,Liege wieder wach,Life Is Pain,19,3,51
53,53,Doja Cat,Need To Know,SME - RCA,5,53,53
54,56,Luciano [DE],Schmetterling,Urban,11,3,56
55,57,The Weeknd,Blinding Lights,Republic Records,92,1,57
56,52,Tiësto,The Business,Atlantic,44,3,52
57,54,P!nk + Willow Sage Hart,Cover Me In Sunshine,SME - RCA,27,7,54
58,55,David Guetta / MistaJam / John Newman,If You Really Love Me (How Will I Know),Parlophone Label Group,7,50,55
59,77,Blxst & Tyga feat. Ty Dolla $ign,Chosen,Red Bull Records,2,59,77
60,62,Ofenbach feat. Lagique,Wasted Love,Elektra,27,12,62
61,63,Tom Gregory,River,Kontor Records,14,36,63
62,58,Dua Lipa,Levitating,Urban,24,16,58
63,NA,BTS,Butter,SME - Sony Music / BTS,13,6,0
64,47,Lea x Casper,Schwarz,SME - Four Music / Treppenhaus,9,7,47
65,61,Bausa feat. Apache 207,Madonna,Warner Music Germany,28,1,61
66,70,Coldplay,Higher Power,Parlophone Label Group,17,35,70
67,59,Jamule,Wenn ich geh,Life Is Pain,7,9,59
68,81,Ava Max,EveryTime I Cry,Atlantic,5,68,81
69,67,Joel Corry feat. MNEK,Head & Heart,Atlantic,59,4,67
70,37,Bausa,Venus,A Million Music,3,19,37
71,23,RIN,1976,SME - GOLD LEAGUE,3,21,23
72,50,Dardan / Cro,Cloud 7,Urban,4,12,50
73,60,RAF Camora,Zukunft,Indipendenza,7,4,60
74,64,Alvaro Soler,Magia,Airforce1,21,28,64
75,66,Masked Wolf,Astronaut In The Ocean,Elektra,34,4,66
76,75,Apache 207,Roller,SME - Four Music / TwoSides,105,1,75
77,73,The Kid Laroi,Without You,SME - Columbia,36,13,73
78,72,Leony,Faded Love,Kontor Records,28,17,72
79,69,Lityway & Yungfijay feat. Ille & MABU,Für dich,SME - Epic,8,66,69
80,96,Michael Patrick Kelly,Throwback,SME - Columbia,6,30,96
81,95,Tom Odell,Another Love,SME - Columbia,87,11,95
82,NA,Elton John & Dua Lipa,Cold Heart,EMI,2,82,0
83,71,Glockenbach feat. ClockClock,Redlight,Wefor,14,38,71
84,82,24kGoldn feat. Iann Dior,Mood,SME - Columbia,54,1,82
85,91,Lena,Strip,Universal Domestic Polydor,13,70,91
86,76,Justin Bieber feat. Daniel Caesar & Giveon,Peaches,Def Jam,24,2,76
87,78,Tom Grennan,Little Bit Of Love,SME - RCA,17,53,78
88,80,Kygo feat. Zoe Wees,Love Me Now,SME - RCA,3,69,80
89,74,01099 - Gustav,Frisch,01099,22,36,74
90,94,Tones And I,Dance Monkey,Bad Batch Records,108,1,94
91,NA,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,1,91,0
92,85,Vegedream,Ramenez la coupe à la maison,Universal,12,9,85
93,27,Reezy,Noch einmal,SME - Four Music / TwoSides,2,27,27
94,89,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,57,6,89
95,84,Lucio101,Tränen,SME - Columbia,6,54,84
96,100,Zoe Wees,Girls Like Us,Capitol,33,9,100
97,88,"187 Strassenbande / Bonez, Frauenarzt",Extasy,187 Strassenbande,17,1,88
98,98,Miksu / Macloud / Jamule / Nimo,Frag mich nicht,Futura,23,2,98
99,87,Luna [DE],Blau,SME - Four Music / Treppenhaus,7,63,87
100,83,Doja Cat feat. SZA,Kiss Me More,SME - RCA,21,31,83
