current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,The Kid Laroi / Justin Bieber,Stay,Columbia,12,1,2
2,3,Ed Sheeran,Bad Habits,Atlantic,14,1,3
3,4,Glass Animals,Heat Waves,Polydor,22,3,4
4,10,Ed Sheeran,Shivers,Atlantic,3,4,10
5,5,Montez,Auf & ab,Universal Domestic Vertigo,9,1,5
6,9,Lost Frequencies / Calum Scott,Where Are You Now,RCA,7,6,9
7,12,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,3,7,12
8,7,Shouse,Love Tonight,Hell Beach,15,4,7
9,NA,Samra & Topic42 feat. Arash,Ich bin weg (Boro boro),Cataleya Edition,1,9,0
10,8,Pajel,10von10,Epic / DOPE,7,5,8
11,6,RAF Camora feat. Luciano,2CB,Indipendenza,3,1,6
12,NA,Bonez MC,Eine Pille,Universal Domestic Vertigo,1,12,0
13,NA,Coldplay x BTS,My Universe,Parlophone Label Group,1,13,0
14,13,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,10,1,13
15,11,Lil Nas X & Jack Harlow,Industry Baby,Columbia,10,9,11
16,NA,Zuna x Lune,Baby 2.0,KMN Gang,1,16,0
17,16,ART,Belgisches Viertel,23HOURS,5,13,16
18,NA,Dardan & Nimo,Para Drill,Hypnotize Entertainment,1,18,0
19,NA,Loredana & Mozzik,Immer wenn es regnet,Loredana,1,19,0
20,22,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,20,1,22
21,19,Pashanim,Sommergewitter,Urban,14,1,19
22,24,Tinlicker & Helsloot,Because You Move Me,Kontor Records,15,14,24
23,20,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,7,20,20
24,21,Måneskin,Beggin',RCA,17,1,21
25,15,Kalim feat. Haftbefehl,Ozean,Urban,2,15,15
26,27,Nathan Evans,Wellerman,Polydor,36,1,27
27,23,Doja Cat,Woman,RCA,8,18,23
28,59,Nura,Fair,Universal Domestic Vertigo,2,28,59
29,18,Lil Nas X,Thats What I Want,Columbia,2,18,18
30,25,RAF Camora x Juju,Wenn du mich siehst,Indipendenza,6,2,25
31,30,Måneskin,I Wanna Be Your Slave,RCA,19,3,30
32,33,Elton John & Dua Lipa,Cold Heart,EMI,6,32,33
33,32,Milky Chance,Colorado,Muggelig Records GmbH,10,29,32
34,31,Lea,Wenn Du mich lässt,Four Music / Treppenhaus,6,22,31
35,34,T-Low,Crashen,Spinnup,11,27,34
36,29,Lil Nas X,Montero (Call Me By Your Name),Columbia,27,2,29
37,36,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,33,3,36
38,60,Farruko,Pepas,Epic,4,38,60
39,35,Laurell,Habit,FFMM GmbH,9,31,35
40,NA,Milano,Leer,C'est Milano,1,40,0
41,41,The Weeknd,Take My Breath,Republic Records,8,18,41
42,37,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,22,7,37
43,17,AK Ausserkontrolle,Gut im Geschäft,XY Records,2,17,17
44,14,KC Rebell & Gzuz,Polizei,Rebell Army,2,14,14
45,38,Badmómzjay,Sterne unterm Dach,Universal Domestic Vertigo,3,16,38
46,49,Billie Eilish,Happier Than Ever,Interscope,9,23,49
47,58,Kungs,Never Going Home,Universal,4,47,58
48,46,The Weeknd,Save Your Tears,Republic Records,37,5,46
49,61,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,5,49,61
50,40,David Guetta / MistaJam / John Newman,If You Really Love Me (How Will I Know),Parlophone Label Group,11,40,40
51,39,Endzone / TM,61 Grad,2Live Entertainment,8,25,39
52,51,Taylor Swift,Wildest Dreams,Universal,2,51,51
53,56,Loredana x Mozzik,Mit mir,Loredana,5,12,56
54,NA,Rubi,Ich will dich,Rubi Inc.,1,54,0
55,42,Apache 207,2sad2disco (Kapitel I),Four Music / TwoSides,4,7,42
56,NA,Jason Derulo,Acapulco,Warner,1,56,0
57,45,Drake feat. Travis Scott,Fair Trade,Ovo,2,45,45
58,52,Super-Hi x Neeka,Following The Sun,Blended,16,24,52
59,54,OneRepublic,Run,Interscope,21,19,54
60,53,atb x Topic x A7S,Your Love (9PM),Virgin Records,37,6,53
61,50,Blxst & Tyga feat. Ty Dolla $ign,Chosen,Red Bull Records,6,47,50
62,63,The Weeknd,Blinding Lights,Republic Records,96,1,63
63,43,Lea,Parfum,Four Music / Treppenhaus,2,43,43
64,48,Eno feat. Luciano,Vollmond,Crü,5,21,48
65,NA,Helene Fischer,Volle Kraft voraus,Universal Domestic Polydor,1,65,0
66,67,Tiësto,The Business,Atlantic,48,3,67
67,68,J Balvin & Skrillex,In Da Getto,Sueños Globales,4,67,68
68,55,Shirin David,Lieben wir,Juicy Money Records,13,1,55
69,62,HBz,King Kong,Virgin Records,16,31,62
70,71,Helene Fischer feat. Luis Fonsi,Vamos a marte,Universal Domestic Polydor,8,2,71
71,65,Mark Forster x Lea,Drei Uhr nachts,Four Music,25,15,65
72,69,"01099 - Gustav, Zachi",Durstlöscher,01099,20,17,69
73,76,Ofenbach feat. Lagique,Wasted Love,Elektra,31,12,76
74,70,Ava Max,EveryTime I Cry,Atlantic,9,58,70
75,81,Bausa feat. Apache 207,Madonna,Warner Music Germany,32,1,81
76,64,Luciano [DE],Schmetterling,Urban,15,3,64
77,74,Lea x Casper,Schwarz,Four Music / Treppenhaus,13,7,74
78,66,Drake feat. Future & Young Thug,Way 2 Sexy,Ovo,2,66,66
79,73,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,31,7,73
80,80,Apache 207,Roller,Four Music / TwoSides,109,1,80
81,44,Shindy,Mandarinen,Sony Music / Friends With Money,4,1,44
82,78,Tom Gregory,River,Kontor Records,18,36,78
83,79,Jamule,Liege wieder wach,Life Is Pain,23,3,79
84,86,Dua Lipa,Love Again,Urban,3,84,86
85,83,Joel Corry feat. MNEK,Head & Heart,Atlantic,63,4,83
86,47,ABBA,Don't Shut Me Down,Universal,4,5,47
87,87,Coldplay,Higher Power,Parlophone Label Group,21,35,87
88,77,Dua Lipa,Levitating,Urban,28,16,77
89,NA,Oliver Tree,Life Goes On,Atlantic,1,89,0
90,88,Shirin David,Ich darf das,Juicy Money Records,20,1,88
91,96,24kGoldn feat. Iann Dior,Mood,Columbia,58,1,96
92,84,Tom Odell,Another Love,Columbia,91,11,84
93,91,Wes Nelson & Yxng Bane,Nice To Meet Ya,EMI,18,5,91
94,93,Masked Wolf,Astronaut In The Ocean,Elektra,38,4,93
95,NA,Michael Patrick Kelly,Throwback,Columbia,9,30,0
96,89,The Kid Laroi,Without You,Columbia,40,13,89
97,97,Doja Cat,Need To Know,RCA,9,53,97
98,28,RIN,Apple,GOLD LEAGUE,2,28,28
99,82,Lityway & Yungfijay feat. Ille & MABU,Für dich,Epic,12,66,82
100,NA,Billie Eilish,Bored,Darkroom,1,100,0
