current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,9,Adele,Easy On Me,Columbia,6,1,9
2,2,Ed Sheeran,Shivers,Atlantic,11,1,2
3,5,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",4,3,5
4,NA,Capital Bra x Montez,Ein Jahr,Urban,1,4,0
5,NA,Sido,Mit Dir,Urban,1,5,0
6,3,Elton John & Dua Lipa,Cold Heart,EMI,14,3,3
7,57,Gayle,abcdefu,Atlantic,2,7,57
8,4,Glass Animals,Heat Waves,Polydor,30,2,4
9,6,Lost Frequencies / Calum Scott,Where Are You Now,RCA,15,5,6
10,8,The Kid Laroi / Justin Bieber,Stay,Columbia,20,1,8
11,1,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,2,1,1
12,11,Farruko,Pepas,Epic,12,11,11
13,10,Ed Sheeran,Bad Habits,Atlantic,22,1,10
14,NA,Shirin David & Shindy,NDA's,Juicy Money Records,1,14,0
15,12,Pashanim,Paris Freestyle,Urban,5,3,12
16,14,Shouse,Love Tonight,Hell Beach,23,4,14
17,7,Hava x Dardan,High,RCA,2,7,7
18,58,Mariah Carey,All I Want For Christmas Is You,Sony Music,78,1,58
19,65,Wham!,Last Christmas,Sony Music,149,2,65
20,16,Dardan & Nimo,B.I.B.O.,Hypnotize Entertainment,7,11,16
21,NA,Jamule,Violett,Life Is Pain,1,21,0
22,17,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,11,6,17
23,13,Shirin David,Schlechtes Vorbild,Juicy Money Records,2,13,13
24,NA,Adele,Oh My God,Columbia,1,24,0
25,18,Montez,Auf & ab,Universal Domestic Vertigo,17,1,18
26,23,Shirin David / Kitty Kat,Be A Hoe / Break A Hoe,Universal Domestic Vertigo,4,1,23
27,15,Mario Novembre,Lautlos,Green Elephant Records,2,15,15
28,19,Jason Derulo,Acapulco,Atlantic,9,19,19
29,22,Lil Nas X & Jack Harlow,Industry Baby,Columbia,18,9,22
30,39,Imagine Dragons x JID,Enemy,KIDinaKORNER,4,30,39
31,NA,Nico Santos,Would I Lie To You,Virgin Records,1,31,0
32,20,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,13,20,20
33,NA,Anonym x Samra,Ghetto Gemälde,Cataleya Edition,1,33,0
34,29,BoyWithUke,Toxic,BoyWithUke,4,29,29
35,34,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,7,34,34
36,32,Coldplay x BTS,My Universe,Parlophone Label Group,9,13,32
37,27,Tinlicker & Helsloot,Because You Move Me,Kontor Records,23,14,27
38,31,Milky Chance,Colorado,Muggelig Records GmbH,18,28,31
39,93,Shirin David,Lieben wir,Juicy Money Records,18,1,93
40,33,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,18,1,33
41,28,Lea x Luna,Küsse wie Gift,Four Music / Treppenhaus,3,19,28
42,NA,Shirin David,Ich darf das,Juicy Money Records,21,1,0
43,44,Lil Nas X,Thats What I Want,Columbia,10,18,44
44,35,Gzuz,Späti,187 Strassenbande,6,4,35
45,NA,Shakin' Stevens,Merry Christmas Everyone,Epic,23,4,0
46,NA,Bushido,Giftgrünes B,Ersguterjunge,1,46,0
47,30,Kalim feat. Luciano,Bleib' über Nacht,Urban,4,8,30
48,38,Pajel,10von10,Epic / DOPE,15,5,38
49,37,Lisa [KR],Money,YG Entertainment,8,14,37
50,42,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,28,1,42
51,45,Nathan Evans,Wellerman,Polydor,44,1,45
52,26,Helene Fischer,Null auf 100,Universal Domestic Polydor,6,23,26
53,NA,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,22,6,0
54,NA,Chris Rea,Driving Home For Christmas,Warner Music International,65,3,0
55,41,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,15,20,41
56,46,ART [DE],Belgisches Viertel,23HOURS,13,13,46
57,36,Taylor Swift,All Too Well,Taylor Swift Productions,2,36,36
58,NA,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,124,3,0
59,50,Pashanim,Sommergewitter,Urban,22,1,50
60,54,The Weeknd,Save Your Tears,Republic Records,45,5,54
61,47,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,5,14,47
62,51,Dua Lipa,Love Again,Urban,11,44,51
63,56,Ed Sheeran,Overpass Graffiti,Warner Music International,4,17,56
64,55,Måneskin,Beggin',RCA,25,1,55
65,NA,Ariana Grande,Santa Tell Me,Universal,20,10,0
66,53,RAF Camora feat. Luciano,2CB,Indipendenza,11,1,53
67,43,Katja Krasavice x Leony,Raindrops,Katja Krasavice,3,1,43
68,25,KC Rebell & RAF Camora,Gelebt,Rebell Army,3,10,25
69,21,Juice WRLD,Already Dead,Interscope,2,21,21
70,NA,Casper feat. Tua,TNT,Columbia / Eklat Tonträger,2,62,0
