current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,DJ Robin & Schürze,Layla,Universal Domestic Polydor,8,1,1
2,3,Luciano [DE],Beautiful Girl,Urban,10,1,3
3,2,Domiziana,Ohne Benzin,SME - Four Music,7,1,2
4,8,Liaze,Paradise,Ventura Records,2,4,8
5,6,Kate Bush,Running Up That Hill,EMI,25,3,6
6,5,Ion Miles / SiraOne / BHZ,Powerade,SME - Sony Music / BHZ,11,2,5
7,4,Harry Styles,As It Was,SME - Columbia,14,1,4
8,7,Julian Sommer,Dicht im Flieger,Electrola,14,7,7
9,10,T-Low & Miksu / Macloud,We Made It,Spinnup,11,1,10
10,11,Miksu / MacLoud & T-Low,Sehnsucht,Futura,18,1,11
11,12,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,6,11,12
12,13,Glass Animals,Heat Waves,Polydor,62,2,13
13,9,Emilio,Ausmacht,SME - Jive,5,5,9
14,15,Öwnboss & Sevek,Move Your Body,Musical Freedom,16,11,15
15,18,Imanbek & BYOR,Belly Dancer,Musical Freedom,11,15,18
16,16,Farruko,Pepas,SME - Epic,44,11,16
17,19,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,10,13,19
18,21,Camila Cabello feat. Ed Sheeran,Bam Bam,SME - Epic,18,12,21
19,20,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,47,5,20
20,22,Kamrad,I Believe,SME - Epic,20,20,22
21,26,Ed Sheeran,Shivers,Atlantic,43,1,26
22,24,Leony,Remedy,Kontor Records,21,5,24
23,27,Elton John & Dua Lipa,Cold Heart,EMI,46,3,27
24,25,Tiësto & Ava Max,The Motto,Atlantic,35,10,25
25,23,Benzz,Je m'appelle,Universal,8,22,23
26,45,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,13,26,45
27,31,Panic! At The Disco,House Of Memories,Fueled By Ramen,11,12,31
28,40,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,9,28,40
29,32,The Ironix & Nullzweizwei,Coachella,Between Worlds,6,24,32
30,37,Jax Jones & MNEK,Where Did You Go?,Polydor,15,27,37
31,30,Jack Harlow,First Class,Atlantic,13,2,30
32,35,Ed Sheeran,Bad Habits,Atlantic,54,1,35
33,39,Tom Odell,Another Love,SME - Columbia,126,11,39
34,NA,Drake feat. 21 Savage,Jimmy Cooks,Ovo,1,34,0
