current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,DJ Robin & Schürze,Layla,Universal Domestic Polydor,12,1,1
2,7,Die Zipfelbuben,Olivia,Xtreme Sound Recordings,2,2,7
3,2,Liaze,Paradise,Ventura Records,6,2,2
4,3,Luciano [DE],Beautiful Girl,Urban,14,1,3
5,12,Miksu / MacLoud & Makko,Nachts wach,Futura,4,5,12
6,4,Kontra K feat. Sido & Leony,Follow,Letzte Woelfe,4,3,4
7,6,James Hype & Miggy Dela Rosa,Ferrari,Universal Domestic Island,10,6,6
8,NA,Luciano,Frozen Tears,Urban,1,8,0
9,5,Domiziana,Ohne Benzin,SME - Four Music,11,1,5
10,9,Harry Styles,As It Was,SME - Columbia,18,1,9
11,11,Kate Bush,Running Up That Hill,EMI,29,3,11
12,10,Julian Sommer,Dicht im Flieger,Electrola,18,7,10
13,14,Ion Miles / SiraOne / BHZ,Powerade,SME - Sony Music / BHZ,15,2,14
14,21,Imanbek & BYOR,Belly Dancer,Musical Freedom,15,14,21
15,15,Theo Junior,Ups & Downs,Theo Junior,3,14,15
16,20,Rosa Linn,Snap,Nvak Collective,4,16,20
17,8,Bonez MC & RAF Camora,Letztes Mal,187 Strassenbande,3,2,8
18,23,Miksu / MacLoud & T-Low,Sehnsucht,Futura,22,1,23
19,16,Ary x Liaze,Ticket nach Ketama,Good Kid Records/VENTURA Records,2,16,16
20,25,Öwnboss & Sevek,Move Your Body,Musical Freedom,20,11,25
21,24,Glass Animals,Heat Waves,Polydor,66,2,24
22,26,Farruko,Pepas,SME - Epic,48,11,26
23,13,Pashanim,Kleiner Prinz,Urban,4,4,13
24,18,RIN,Commitment Issues,SME - GOLD LEAGUE,3,9,18
25,22,T-Low & Miksu / Macloud,We Made It,Spinnup,15,1,22
26,40,Central Cee,Doja,Central Cee,2,26,40
27,27,Kamrad,I Believe,SME - Epic,24,20,27
28,17,PA Sports,Heaven,Life Is Pain,2,17,17
29,30,Camila Cabello feat. Ed Sheeran,Bam Bam,SME - Epic,22,12,30
30,32,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,51,5,32
31,29,Leony,Remedy,Kontor Records,25,5,29
32,36,Topic x A7S,Kernkraft 400 (A Better Day),Virgin Records,5,32,36
33,63,Montez,Auf & ab,Universal Domestic Vertigo,53,1,63
34,34,Elton John & Dua Lipa,Cold Heart,EMI,50,3,34
35,39,Die Flippers,Wir sagen danke schön,SME - Sony Music,5,35,39
36,33,Mia Julia / Lorenz Büffel / Malle Anja,Der Zug hat keine Bremse,Electrola,5,33,33
37,41,Tom Odell,Another Love,SME - Columbia,130,11,41
38,31,Emilio,Ausmacht,SME - Jive,9,5,31
39,35,Ed Sheeran,Shivers,Atlantic,47,1,35
40,19,Dhurata Dora feat. Luciano,Adrenalina,SME - Epic / Ilir Balija,2,19,19
41,38,Tiësto & Ava Max,The Motto,Atlantic,39,10,38
42,42,Benzz,Je m'appelle,Universal,12,22,42
43,37,SDP feat. Clueso,Die schönsten Tage,Nur Musik ist schöner,14,13,37
44,28,Lea x 01099,Eigentlich,SME - Sony Music / Treppenhaus Records,3,19,28
45,45,Endzone / TM,61 Grad,2Live Entertainment,37,25,45
46,47,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,Parlophone Label Group,17,26,47
47,46,Ed Sheeran,Bad Habits,Atlantic,58,1,46
48,50,Purple Disco Machine + Sophie And The Giants,In The Dark,SME - Columbia,25,12,50
49,48,Jason Derulo,Acapulco,Atlantic,45,18,48
50,43,Felix Jaehn & The Stickmen Project feat. Calum Scott,Rain In Ibiza,Virgin Records,13,28,43
51,53,OneRepublic,I Ain't Worried,Interscope,7,51,53
52,NA,Beyoncé,Break My Soul,SME - Columbia,3,42,0
53,51,Jax Jones & MNEK,Where Did You Go?,Polydor,19,27,51
54,52,Shouse,Love Tonight,Hell Beach,59,4,52
55,56,Gayle,abcdefu,Atlantic,38,1,56
56,57,Pashanim,Sommergewitter,Urban,57,1,57
57,NA,Céline [DE],A$AP & Rihanna,BTGS / A Million,1,57,0
58,61,The Kid Laroi / Justin Bieber,Stay,SME - Columbia,56,1,61
59,NA,Chris Brown,Under The Influence,SME - RCA,1,59,0
60,62,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,40,3,62
61,68,Nicky Youre & Dazy,Sunroof,SME - Columbia,7,61,68
62,54,Panic! At The Disco,House Of Memories,Fueled By Ramen,15,12,54
63,60,Alvaro Soler / Ray Dalton,Manila,SME - Epic,26,23,60
64,55,The Ironix & Nullzweizwei,Coachella,Between Worlds,10,24,55
65,65,Nathan Evans,Wellerman,Polydor,80,1,65
66,NA,"SiraOne, Monk & Longus Mongus feat. Themba",Secco Maracuja,SME - Four Music / Two Sides,1,66,0
67,67,Cro feat. Claudia Valentina,High,Urban,7,24,67
68,66,Imagine Dragons x JID,Enemy,Interscope,40,4,66
69,44,Azet feat. Zuna,Karussell,KMN Gang,3,20,44
70,58,Civo,Weg von mir,Good Kid Records/VENTURA Records,27,4,58
71,64,Jack Harlow,First Class,Atlantic,17,2,64
72,83,Shawn Mendes,When You're Gone,Island,18,37,83
73,71,Jaymes Young,Infinity,Atlantic,42,11,71
74,72,Luude & Mattafix,Big City Life,Warner Music International,3,72,72
75,69,ClockClock,Sorry,Wefor,19,18,69
76,73,Elley Duhé,Middle Of The Night,SME - RCA,34,31,73
77,85,Alvaro Soler x Topic,Solo para ti,Airforce1,5,77,85
78,86,Pajel,Blockstar,SME - Epic / DOPE,3,69,86
79,82,The Weeknd,Save Your Tears,Republic Records,80,5,82
80,78,Calvin Harris & Dua Lipa,One Kiss,SME - Sony Music,50,1,78
81,75,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,53,1,75
82,NA,Eno,Amsterdam,2022 Crü,1,82,0
83,88,Tate McRae,She's All I Wanna Be,SME - RCA,23,50,88
84,80,Felix Jaehn feat. Zoe Wees,Do It Better,Virgin Records,8,72,80
85,74,Joji,Glimpse Of Us,88rising Music,7,31,74
86,76,Rammstein,Dicke Titten,Rammstein,11,12,76
87,77,Lizzo,About Damn Time,Atlantic,13,34,77
88,NA,Southstar,Miss You,Recordjet,1,88,0
89,84,Ava Max,Maybe You're The Problem,Atlantic,6,80,84
90,92,Luude feat. Colin Hay,Down Under,Sweat It Out,29,9,92
91,79,Ikke Hüftgold,Ich schwanke noch,Summerfield Records,7,71,79
92,87,Måneskin,Supermodel,SME - RCA,12,49,87
93,NA,Nej',Paro,Miel Noir,1,93,0
94,97,The Weeknd,Blinding Lights,Republic Records,139,1,97
95,NA,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us,Macklemore,106,2,0
96,91,Drake feat. 21 Savage,Jimmy Cooks,Ovo,5,34,91
97,98,1986zig,Kopf aus,Good Kid Records/VENTURA Records,26,3,98
98,100,Dennis Dies Das / Whitey En Vogue / Robbensohn,Bass,SME - GOLD LEAGUE,2,98,100
99,96,Glockenbach x ClockClock,Brooklyn,Wefor,31,26,96
100,99,Lady Gaga,Hold My Hand,Interscope,11,79,99
