current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Pashanim,Sommergewitter,Urban,1,1,0
2,1,Måneskin,Beggin',RCA,4,1,1
3,NA,Ed Sheeran,Bad Habits,Warner Music International,1,3,0
4,2,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,7,1,2
5,4,Måneskin,I Wanna Be Your Slave,RCA,6,3,4
6,5,Nathan Evans,Wellerman,Polydor,23,1,5
7,NA,Finch feat. Blümchen,Herzalarm,Walk This Way Records,1,7,0
8,3,Luciano [DE],Schmetterling,Urban,2,3,3
9,7,Justin Wellington and Small Jam,Iko Iko,Columbia / B1,9,7,7
10,9,Vegedream,Ramenez la coupe à la maison,Universal,3,9,9
11,6,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,20,3,6
12,10,Lil Nas X,Montero (Call Me By Your Name),Columbia,14,2,10
13,8,Wes Nelson & Yxng Bane,Nice To Meet Ya,EMI,5,7,8
14,NA,Dardan,GTA,Hypnotize Entertainment,1,14,0
15,NA,NGEE x Capital Bra,Vergib mir,Epic,1,15,0
16,12,The Weeknd,Save Your Tears,Republic Records,24,5,12
17,11,Shirin David,Ich darf das,Universal Domestic Vertigo,7,1,11
18,14,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,18,7,14
19,13,Jamule,Liege wieder wach,Life Is Pain,10,3,13
20,21,Dua Lipa,Levitating,Urban,15,16,21
21,18,Martin Garrix feat. Bono & The Edge,We Are The People,Columbia / B1,3,15,18
22,17,"01099 - Gustav, Zachi",Durstlöscher,01099,7,17,17
23,15,Capo,Ghettogirl,Warner Music Germany,5,7,15
24,19,atb x Topic x A7S,Your Love (9PM),Virgin Records,24,6,19
25,NA,RIN feat. Giant Rooks,Insomnia,GOLD LEAGUE,1,25,0
26,NA,Capo,Mahalle,Warner Music Germany,1,26,0
27,NA,Loredana x Mozzik,Oh Digga,Loredana,1,27,0
28,23,Trinidad Cardona,Dinero,Run It Up Records,3,23,23
29,24,Mark Forster x Lea,Drei Uhr nachts,Four Music,12,15,24
30,25,Masked Wolf,Astronaut In The Ocean,Elektra,25,4,25
31,35,OneRepublic,Run,Interscope,8,31,35
32,22,"187 Strassenbande / Bonez, Frauenarzt",Extasy,187 Strassenbande,8,1,22
33,29,Justin Bieber feat. Daniel Caesar & Giveon,Peaches,Def Jam,15,2,29
34,26,Tiësto,The Business,Atlantic,35,3,26
35,27,Ofenbach feat. Lagique,Wasted Love,Elektra,18,12,27
36,28,Alvaro Soler,Magia,Airforce1,12,28,28
37,20,PA Sports x Kianush x Jamule,Shawty,Life Is Pain,3,8,20
38,40,Coldplay,Higher Power,Parlophone Label Group,8,36,40
39,30,Bausa feat. Apache 207,Madonna,Warner Music Germany,19,1,30
40,32,BHZ,Drink ist kalt,Sony Music / BHZ,4,21,32
41,36,Purple Disco Machine feat. Moss Kena & The Knocks,Fireworks,Columbia,10,32,36
42,31,Beatzarre & Djorkaeff / Lea x Capital Bra,Sommer,Urban,4,3,31
43,37,Måneskin,Zitti e buoni,RCA,6,9,37
44,34,Cro feat. Capital Bra,Blessed,Urban,9,2,34
45,53,Doja Cat feat. SZA,Kiss Me More,RCA,12,31,53
46,38,Leony,Faded Love,Kontor Records,19,17,38
47,57,Tom Gregory,River,Kontor Records,5,47,57
48,41,Zoe Wees,Girls Like Us,Capitol,24,9,41
49,42,Majestic x Boney M.,Rasputin,NITRON,9,38,42
50,44,The Weeknd,Blinding Lights,Republic Records,83,1,44
51,48,Glockenbach feat. ClockClock,Redlight,Wefor,5,48,48
52,47,The Kid Laroi,Without You,Columbia,27,13,47
53,33,Loredana & Mozzik,Rosenkrieg,Loredana,5,1,33
54,NA,Doja Cat & The Weeknd,You Right,RCA,1,54,0
55,49,01099 - Gustav,Frisch,01099,13,36,49
56,56,Tom Grennan,Little Bit Of Love,RCA,8,53,56
57,51,Super-Hi x Neeka,Following The Sun,Blended,3,51,51
58,45,Joel Corry feat. MNEK,Head & Heart,Atlantic,50,4,45
59,NA,Ayliva,Wenn ich wein,Whiteheart Records,1,59,0
60,46,Joel Corry / Raye / David Guetta,Bed,Atlantic,17,34,46
61,43,Miksu / Macloud / Jamule / Nimo,Frag mich nicht,Futura,14,2,43
62,52,Jason Derulo x Nuka,Love Not War (The Tampa Beat),Columbia,32,9,52
63,72,Shouse,Love Tonight,Hell Beach,2,63,72
64,55,Robin Schulz & Felix Jaehn feat. Alida,One More Time,Warner Music Germany,18,37,55
65,54,Wincent Weiss + Johannes Oerding,Die guten Zeiten,Universal Domestic Vertigo,3,14,54
66,63,BTS,Butter,Bighit Music,6,7,63
67,NA,Alligatoah & Esther Graf,Mit dir schlafen,Trailerpark,1,67,0
68,80,Tinlicker & Helsloot,Because You Move Me,Kontor Records,2,68,80
69,60,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,48,6,60
70,64,Kasimir1441 x Badmómzjay,Ohne Dich,Bis Es Klappt Records,24,1,64
71,61,Imagine Dragons,Follow You,Interscope,12,49,61
72,76,HBz,King Kong,Virgin Records,3,72,76
73,NA,Montez & ELIF,Immer wenn ich gehen will,Universal Domestic Vertigo,1,73,0
74,73,Lena,Strip,Universal Domestic Polydor,4,73,73
75,70,Apache 207,Roller,Four Music / TwoSides,96,1,70
76,69,Russ Millions x Tion Wayne,Body,Atlantic,8,28,69
77,79,AK Ausserkontrolle,3065,XY Records,8,21,79
78,78,Tom Odell,Another Love,Columbia,78,11,78
79,89,"Galantis, David Guetta & Little Mix",Heartbreak Anthem,Big Beat Records,5,75,89
80,NA,RIN,Sado,GOLD LEAGUE,1,80,0
81,59,"187 Strassenbande / Maxwell, Gzuz, Bonez",Alles nach Plan,187 Strassenbande,7,5,59
82,75,24kGoldn feat. Iann Dior,Mood,Columbia,45,1,75
83,74,Olivia Rodrigo,Drivers License,Olivia Rodrigo,25,2,74
84,65,Badmómzjay,Tu nicht so,Universal Domestic Vertigo,6,10,65
85,88,Travis Scott feat. Kendrick Lamar,Goosebumps,Epic / B1,26,47,88
86,62,Luciano feat. Lil Zey,Elmas,Urban,8,5,62
87,67,Santos x Sido x Samra,Leere Hände,Urban,12,2,67
88,82,Wincent Weiss,Wer wenn nicht wir,Universal Domestic Vertigo,23,12,82
89,16,Pietro Lombardi,Ti amo,Universal Domestic Polydor,2,16,16
90,71,Vize x Tokio Hotel,White Lies,Epic,24,13,71
91,81,Meduza feat. Dermot Kennedy,Paradise,Virgin Records,35,14,81
92,97,Tones And I,Dance Monkey,Bad Batch Records,99,1,97
93,58,Luciano [DE],Drilla,Urban,5,8,58
94,86,Robin Schulz feat. Kiddo,All We Got,Warner Music Germany,37,5,86
95,91,Twocolors,Bloodstream,Virgin Records,4,83,91
96,50,Kollegah,Rotlichtsonate,Alpha Music Empire,3,12,50
97,96,Purple Disco Machine & Sophie And The Giants,Hypnotized,Columbia,48,11,96
98,83,Ilira x Vize,Dynamite,Epic / Crash Your Sound,10,72,83
99,87,Tesher x Jason Derulo,Jalebi Baby,Namah Music Group,5,81,87
100,98,Glass Animals,Heat Waves,Polydor,11,80,98
