current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Miksu / MacLoud & T-Low,Sehnsucht,Futura,5,1,1
2,NA,Harry Styles,As It Was,Columbia,1,2,0
3,2,Glass Animals,Heat Waves,Polydor,49,2,2
4,3,Gayle,abcdefu,Atlantic,21,1,3
5,4,Civo,Weg von mir,Good Kid Records/VENTURA Records,10,4,4
6,7,Leony,Remedy,Kontor Records,8,5,7
7,8,Lost Frequencies / Calum Scott,Where Are You Now,RCA,34,5,8
8,11,Imagine Dragons x JID,Enemy,Interscope,23,4,11
9,9,Elton John & Dua Lipa,Cold Heart,EMI,33,3,9
10,10,Ed Sheeran,Shivers,Atlantic,30,1,10
11,13,Jaymes Young,Infinity,Atlantic,25,11,13
12,15,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,8,12,15
13,12,Tiësto & Ava Max,The Motto,Atlantic,22,10,12
14,14,Farruko,Pepas,Epic,31,11,14
15,NA,twenty4tim,Bling Bling,Biddz Records,1,15,0
16,17,The Kid Laroi / Justin Bieber,Stay,Columbia,39,1,17
17,19,Ed Sheeran,Bad Habits,Atlantic,41,1,19
18,20,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,23,3,20
19,24,Tom Odell,Another Love,Columbia,113,11,24
20,NA,Kraftklub,Ein Song reicht,Universal Domestic Vertigo,1,20,0
21,18,Luude feat. Colin Hay,Down Under,Sweat It Out,12,9,18
22,NA,Lil Tjay,In My Head,Columbia,1,22,0
23,21,Sido,Mit Dir,Urban,20,3,21
24,27,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,5,24,27
25,NA,"Gzuz, Veysel & The Cratez",Riesenjoints,GOLD LEAGUE,1,25,0
26,NA,Dardan,Paris,Hypnotize Entertainment,1,26,0
27,22,1986zig,Kopf aus,Universal Domestic Polydor,10,3,22
28,28,Montez,Auf & ab,Universal Domestic Vertigo,36,1,28
29,23,Jason Derulo,Acapulco,Atlantic,28,18,23
30,25,Lil Nas X,Thats What I Want,Columbia,28,11,25
31,NA,O.G. x Nimo,Baradar,Epic / DOPE,1,31,0
32,26,Shouse,Love Tonight,Hell Beach,42,4,26
33,29,Alvaro Soler / Ray Dalton,Manila,Epic,9,29,29
34,39,Elley Duhé,Middle Of The Night,RCA,17,34,39
35,34,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,6,15,34
36,33,Demi Lovato,Cool For The Summer,Universal,3,33,33
37,NA,Shawn Mendes,When You're Gone,Shawn Mendes LP4-5 PS,1,37,0
38,16,01099 - Cro,Glücklich,01099,2,16,16
39,35,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,15,28,35
40,NA,NGEE x Kolja Goldstein,Von da wo ich komme,Bra Musik,1,40,0
41,30,Chapo102 & 102 Boyz,Missed Calls,Jinx Music,2,30,30
42,40,Pajel,10von10,Epic / DOPE,33,2,40
43,44,Nathan Evans,Wellerman,Polydor,63,1,44
44,31,Fourty & Mathea,Wenn Du mich vermisst,Life Is Pain,8,18,31
45,64,ClockClock,Sorry,Wefor,2,45,64
46,45,Dove Cameron,Boyfriend,Columbia,8,26,45
47,51,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,36,1,51
48,37,Glockenbach x ClockClock,Brooklyn,Wefor,14,26,37
49,48,The Weeknd,Save Your Tears,Republic Records,63,5,48
50,50,Lil Nas X & Jack Harlow,Industry Baby,Columbia,37,9,50
51,72,Jax Jones & MNEK,Where Did You Go?,Polydor,2,51,72
52,60,Shouse,Won't Forget You,Hell Beach,3,52,60
53,54,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,47,1,54
54,41,Rammstein,Zeit,Rammstein,4,1,41
55,53,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,21,1,53
