current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Gayle,abcdefu,Atlantic,12,1,1
2,2,Glass Animals,Heat Waves,Polydor,40,2,2
3,3,Ed Sheeran,Shivers,Atlantic,21,1,3
4,NA,Pietro Lombardi,Vorbei,Universal Domestic Polydor,1,4,0
5,8,Elton John & Dua Lipa,Cold Heart,EMI,24,3,8
6,4,Imagine Dragons x JID,Enemy,Interscope,14,4,4
7,5,Sido,Mit Dir,Urban,11,4,5
8,9,Lost Frequencies / Calum Scott,Where Are You Now,RCA,25,5,9
9,6,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,14,3,6
10,7,Pajel,10von10,Epic / DOPE,24,2,7
11,10,The Kid Laroi / Justin Bieber,Stay,Columbia,30,1,10
12,19,Luude feat. Colin Hay,Down Under,Sweat It Out,3,12,19
13,NA,1986zig,Kopf aus,Good Kid Records/VENTURA Records,1,13,0
14,12,Farruko,Pepas,Epic,22,11,12
15,13,Ed Sheeran,Bad Habits,Atlantic,32,1,13
16,15,Tiësto & Ava Max,The Motto,Atlantic,13,15,15
17,14,Montez,Auf & ab,Universal Domestic Vertigo,27,1,14
18,16,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,12,1,16
19,22,Lil Nas X,Thats What I Want,Columbia,19,18,22
20,20,Jaymes Young,Infinity,Atlantic,16,20,20
21,18,Jason Derulo,Acapulco,Atlantic,19,18,18
22,17,Shouse,Love Tonight,Hell Beach,33,4,17
23,21,Adele,Easy On Me,Columbia,16,1,21
24,NA,Jnr Choi,To The Moon,Epic,1,24,0
25,NA,Mero,3AM,Urban,1,25,0
26,24,Nathan Evans,Wellerman,Polydor,54,1,24
27,NA,ART [DE],Nebel,23HOURS,1,27,0
28,27,Kool Savas x Alies,King,Sony Music / Essah Media GmbH,6,27,27
29,30,Glockenbach x ClockClock,Brooklyn,Wefor,5,29,30
30,28,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,6,28,28
31,33,Lil Nas X & Jack Harlow,Industry Baby,Columbia,28,9,33
32,26,Gzuz,Späti,187 Strassenbande,16,4,26
33,29,Coldplay x BTS,My Universe,Parlophone Label Group,19,13,29
34,53,Gunna & Future feat. Young Thug,Pushin P,300 Entertainment,2,34,53
35,32,Pashanim,Paris Freestyle,Urban,15,3,32
36,NA,"Topic, Robin Schulz, Nico Santos & Paul van Dyk",In Your Arms (For An Angel),Virgin Records,1,36,0
37,37,The Weeknd,Save Your Tears,Republic Records,54,5,37
38,36,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,38,1,36
