current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Gayle,abcdefu,Atlantic,11,1,2
2,3,Glass Animals,Heat Waves,Polydor,39,2,3
3,4,Ed Sheeran,Shivers,Atlantic,20,1,4
4,11,Imagine Dragons x JID,Enemy,Interscope,13,4,11
5,7,Sido,Mit Dir,Urban,10,4,7
6,9,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,13,3,9
7,6,Pajel,10von10,Epic / DOPE,23,2,6
8,5,Elton John & Dua Lipa,Cold Heart,EMI,23,3,5
9,10,Lost Frequencies / Calum Scott,Where Are You Now,RCA,24,5,10
10,12,The Kid Laroi / Justin Bieber,Stay,Columbia,29,1,12
11,NA,Wincent Weiss,Morgen,Universal Domestic Vertigo,1,11,0
12,14,Farruko,Pepas,Epic,21,11,14
13,15,Ed Sheeran,Bad Habits,Atlantic,31,1,15
14,16,Montez,Auf & ab,Universal Domestic Vertigo,26,1,16
15,19,Tiësto & Ava Max,The Motto,Atlantic,12,15,19
16,1,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,11,1,1
17,20,Shouse,Love Tonight,Hell Beach,32,4,20
18,22,Jason Derulo,Acapulco,Atlantic,18,18,22
19,36,Luude feat. Colin Hay,Down Under,Kontor Records,2,19,36
20,25,Jaymes Young,Infinity,Atlantic,15,20,25
21,21,Adele,Easy On Me,Columbia,15,1,21
22,31,Lil Nas X,Thats What I Want,Columbia,18,18,31
23,NA,"Noizy, Dardan & Jugglerz",Alles gut,Ventura Records,1,23,0
24,27,Nathan Evans,Wellerman,Polydor,53,1,27
25,8,"Gzuz / RAF Camora, Luciano",Alles black,187 Strassenbande,2,8,8
26,18,Gzuz,Späti,187 Strassenbande,15,4,18
27,37,Kool Savas x Alies,King,Sony Music / Essah Media GmbH,5,27,37
28,35,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,5,28,35
29,33,Coldplay x BTS,My Universe,Parlophone Label Group,18,13,33
30,34,Glockenbach x ClockClock,Brooklyn,Wefor,4,30,34
31,13,Gzuz x Bonez MC,Wenn ich will,187 Strassenbande,3,2,13
32,41,Pashanim,Paris Freestyle,Urban,14,3,41
33,30,Lil Nas X & Jack Harlow,Industry Baby,Columbia,27,9,30
34,17,KC Rebell,Mogli,Rebell Army,2,17,17
35,28,Ufo361 & Pashanim,Allein allein,ADS THC,5,13,28
36,39,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,37,1,39
37,43,The Weeknd,Save Your Tears,Republic Records,53,5,43
38,44,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,12,14,44
39,NA,KC Rebell,100 km/h,Rebell Army,1,39,0
40,42,Tinlicker & Helsloot,Because You Move Me,Kontor Records,31,14,42
41,40,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,22,20,40
42,47,BoyWithUke,Toxic,BoyWithUke,12,29,47
43,38,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,20,6,38
44,29,Selmon & Bausa,Molly,Diggiduwaist,3,19,29
45,48,Purple Disco Machine feat. Eyelar,Dopamine,Columbia,15,34,48
46,55,Tom Odell,Another Love,Columbia,103,11,55
47,45,The Neighbourhood,Softcore,Columbia,3,45,45
48,NA,NGEE,Strassengeschichten,Bra Musik,1,48,0
49,49,The Weeknd,Blinding Lights,Republic Records,112,1,49
50,24,Badchieff x Edo Saiya x Cro feat. Majan,Ich liebe....,Four Music/Schere Stein Papier,2,24,24
51,52,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,26,1,52
52,NA,Fourty x Jamule,Shots,Life Is Pain,1,52,0
53,NA,Gunna & Future feat. Young Thug,Pushin P,300 Entertainment,1,53,0
54,54,Pashanim,Sommergewitter,Urban,30,1,54
55,32,The Weeknd,Sacrifice,XO,3,27,32
56,NA,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),Virgin Records,27,1,0
57,50,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),Columbia,49,3,50
58,61,Alle Farben feat. Kiddo,Alright,Warner Music Germany,6,58,61
59,53,Shawn Mendes,It'll Be Okay,Island,4,53,53
60,46,ART [DE],Rubinroter Wein,23HOURS,6,27,46
61,58,Milky Chance,Colorado,Muggelig Records GmbH,26,28,58
62,67,Michael Patrick Kelly,Blurry Eyes,Columbia,4,62,67
63,60,Måneskin,Beggin',RCA,32,1,60
64,NA,Montez,Geisterstadt,Universal Domestic Vertigo,1,64,0
65,NA,Bozza feat. Bausa,Grey Goose,Def Jam Germany,1,65,0
66,23,Jamule,Blauer Himmel,Life Is Pain,2,23,23
67,62,ART [DE],Belgisches Viertel,23HOURS,21,13,62
68,68,Ed Sheeran,Overpass Graffiti,Atlantic,10,17,68
69,71,Tones And I,Dance Monkey,Bad Batch Records,114,1,71
70,NA,Meduza feat. Hozier,Tell It To My Heart,Island,1,70,0
71,70,Apache 207,Roller,Four Music / TwoSides,121,1,70
72,66,atb x Topic x A7S,Your Love (9PM),Virgin Records,49,6,66
73,69,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out,Atlantic,22,20,69
74,64,Apache 207,Kapitel IV Sport (2sad2disco),Four Music / TwoSides,8,10,64
75,26,DJ Jeezy / Badmómzjay / Bausa / Kalim,Andale,Epic,2,26,26
76,65,The Weeknd,Take My Breath,Republic Records,19,18,65
77,72,Tiësto,The Business,Atlantic,60,3,72
78,59,Samra & Lune,Pourquoi,Cataleya Edition,4,24,59
