current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Luciano [DE],Beautiful Girl,Urban,2,1,1
2,NA,Dieter Bohlen / Katja Krasavice / Pietro Lombardi,"You're My Heart, You're My Soul",Katja Krasavice,1,2,0
3,2,T-Low & Miksu / Macloud,We Made It,Spinnup,3,1,2
4,6,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,3,4,6
5,3,Miksu / MacLoud & T-Low,Sehnsucht,Futura,10,1,3
6,4,Harry Styles,As It Was,Columbia,6,1,4
7,5,Jack Harlow,First Class,Atlantic,5,2,5
8,NA,Dardan x RAF Camora,Obsessed,Hypnotize Entertainment,1,8,0
9,9,Glass Animals,Heat Waves,Polydor,54,2,9
10,11,Leony,Remedy,Kontor Records,13,5,11
11,15,Lost Frequencies / Calum Scott,Where Are You Now,RCA,39,5,15
12,16,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,10,12,16
13,14,Gayle,abcdefu,Atlantic,26,1,14
14,25,Panic! At The Disco,House Of Memories,Fueled By Ramen,3,14,25
15,18,Elton John & Dua Lipa,Cold Heart,EMI,38,3,18
16,17,Ed Sheeran,Shivers,Atlantic,35,1,17
17,21,Farruko,Pepas,Epic,36,11,21
18,20,ClockClock,Sorry,Wefor,7,18,20
19,19,Civo,Weg von mir,Good Kid Records/VENTURA Records,15,4,19
20,24,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,13,12,24
21,33,Öwnboss & Sevek,Move Your Body,Musical Freedom,8,21,33
22,23,Tiësto & Ava Max,The Motto,Atlantic,27,10,23
23,40,SDP & Clueso,Die schönsten Tage,Nur Musik ist schöner,2,23,40
24,28,Imagine Dragons x JID,Enemy,Interscope,28,4,28
25,29,Alvaro Soler / Ray Dalton,Manila,Epic,14,23,29
26,8,Rammstein,Zeit,Rammstein,9,1,8
27,30,Ed Sheeran,Bad Habits,Atlantic,46,1,30
28,31,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,28,3,31
29,26,Jaymes Young,Infinity,Atlantic,30,11,26
30,32,The Kid Laroi / Justin Bieber,Stay,Columbia,44,1,32
31,NA,SA4 - Bonez MC,Machen Geld,187 Strassenbande,1,31,0
32,35,Jax Jones & MNEK,Where Did You Go?,Polydor,7,28,35
33,NA,Farid Bang & Capital Bra,Karma,Banger Musik,1,33,0
34,41,Romero [DE],Sie liebt Techno,Epic,3,34,41
35,38,Elley Duhé,Middle Of The Night,RCA,22,31,38
36,34,Tom Odell,Another Love,Columbia,118,11,34
37,37,Shouse,Love Tonight,Hell Beach,47,4,37
38,13,The Cratez / Bonez MC / LX,Bob Marley,GOLD LEAGUE,2,13,13
39,7,Rammstein,Zick zack,Rammstein,5,1,7
40,43,Jason Derulo,Acapulco,Atlantic,33,18,43
41,36,Luude feat. Colin Hay,Down Under,Sweat It Out,17,9,36
42,53,Malik Harris,Rockstars,Better Now Records,6,42,53
43,42,Julian Sommer,Dicht im Flieger,Electrola,6,40,42
44,NA,Django & Biggie68,Shank On Me,NWD,1,44,0
45,49,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,41,1,49
46,47,T-Low,Crashen,Spinnup,22,27,47
47,59,Ed Sheeran feat. Lil Baby,2step,Atlantic,3,47,59
48,44,Lil Nas X,Thats What I Want,Columbia,33,11,44
49,46,Montez,Auf & ab,Universal Domestic Vertigo,41,1,46
50,NA,Lizzo,About Damn Time,Atlantic,1,50,0
51,48,Shouse,Won't Forget You,Hell Beach,8,36,48
52,12,Rammstein,Angst,Rammstein,2,12,12
53,50,Sido,Mit Dir,Urban,25,3,50
54,54,Nathan Evans,Wellerman,Polydor,68,1,54
55,56,Glockenbach x ClockClock,Brooklyn,Wefor,19,26,56
56,55,Pajel,10von10,Epic / DOPE,38,2,55
57,63,Kamrad,I Believe,Kamrad,12,56,63
58,52,01099 - Cro,Glücklich,01099,7,16,52
59,67,A1 x J1 & Tion Wayne,Night Away (Dance),EMI,8,46,67
60,62,Silva,Jumper,Urban,6,44,62
61,61,The Weeknd,Save Your Tears,Republic Records,68,5,61
62,71,Pashanim,Sommergewitter,Urban,45,1,71
