current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Miksu / MacLoud & T-Low,Sehnsucht,Futura,1,1,0
2,2,Glass Animals,Heat Waves,Polydor,45,2,2
3,1,Gayle,abcdefu,Atlantic,17,1,1
4,4,Civo,Weg von mir,Good Kid Records/VENTURA Records,6,4,4
5,5,Imagine Dragons x JID,Enemy,Interscope,19,4,5
6,6,Ed Sheeran,Shivers,Atlantic,26,1,6
7,7,Lost Frequencies / Calum Scott,Where Are You Now,RCA,30,5,7
8,9,Elton John & Dua Lipa,Cold Heart,EMI,29,3,9
9,8,1986zig,Kopf aus,Universal Domestic Polydor,6,3,8
10,NA,Mero feat. Jamule,Rapstars,Urban,1,10,0
11,10,Ed Sheeran,Bad Habits,Atlantic,37,1,10
12,12,Tiësto & Ava Max,The Motto,Atlantic,18,10,12
13,11,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,19,3,11
14,14,Luude feat. Colin Hay,Down Under,Sweat It Out,8,9,14
15,16,Jaymes Young,Infinity,Atlantic,21,15,16
16,17,The Kid Laroi / Justin Bieber,Stay,Columbia,35,1,17
17,13,Sido,Mit Dir,Urban,16,3,13
18,25,Leony,Remedy,Kontor Records,4,18,25
19,19,Farruko,Pepas,Epic,27,11,19
20,20,Fourty & Mathea,Wenn Du mich vermisst,Life Is Pain,4,18,20
21,18,Lil Nas X,Thats What I Want,Columbia,24,11,18
22,NA,Capital Bra,Nur ein Song (I Need Some Sleep),Urban,1,22,0
23,3,187 Strassenbande,187 Allstars '22,187 Strassenbande,2,3,3
24,15,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,2,15,15
25,21,Montez,Auf & ab,Universal Domestic Vertigo,32,1,21
26,28,Dove Cameron,Boyfriend,Columbia,4,26,28
27,24,Jason Derulo,Acapulco,Atlantic,24,18,24
28,23,Pajel,10von10,Epic / DOPE,29,2,23
29,27,Shouse,Love Tonight,Hell Beach,38,4,27
30,26,Glockenbach x ClockClock,Brooklyn,Wefor,10,26,26
31,NA,Schmyt x Cro,Alles anders (weniger im Arsch),GOLD LEAGUE / DIVISION Entertainment,1,31,0
32,30,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,17,1,30
33,NA,Dardan,I Don't Wanna Party No More,Hypnotize Entertainment,1,33,0
34,NA,Frauenarzt & Bonez MC,Tag Team,Proletik,1,34,0
35,31,Nathan Evans,Wellerman,Polydor,59,1,31
36,NA,Samra,Mein Herz,Cataleya Edition,1,36,0
37,41,Tom Odell,Another Love,Columbia,109,11,41
38,29,Katja Krasavice,Onlyfans,Katja Krasavice,4,2,29
39,38,Alvaro Soler / Ray Dalton,Manila,Epic,5,38,38
40,NA,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,1,40,0
41,34,Robin Schulz & Dennis Lloyd,Young Right Now,Warner Music Germany,11,28,34
42,50,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,4,42,50
43,36,Adele,Easy On Me,Columbia,21,1,36
44,35,Jnr Choi,To The Moon,Epic,6,24,35
45,37,Lil Nas X & Jack Harlow,Industry Baby,Columbia,33,9,37
46,42,The Weeknd,Save Your Tears,Republic Records,59,5,42
47,46,Swedish House Mafia & The Weeknd,Moth To A Flame,Republic Records,18,14,46
48,48,RAF Camora feat. Bonez MC,Blaues Licht,Indipendenza,32,1,48
49,43,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,43,1,43
