current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Wham!,Last Christmas,SME - Sony Music,154,1,1
2,2,Mariah Carey,All I Want For Christmas Is You,SME - Sony Music,83,1,2
3,3,Chris Rea,Driving Home For Christmas,Warner Music International,70,3,3
4,4,Ed Sheeran & Elton John,Merry Christmas,Atlantic,4,4,4
5,7,Shakin' Stevens,Merry Christmas Everyone,SME - Sony Music,28,4,7
6,6,Melanie Thornton,Wonderful Dream (Holidays Are Coming),Universal Domestic Polydor,129,3,6
7,13,Paul McCartney,Wonderful Christmastime,Capitol,24,7,13
8,10,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,37,6,10
9,11,Kelly Clarkson,Underneath The Tree,SME - RCA,21,9,11
10,12,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,27,6,12
11,17,José Feliciano,Feliz Navidad,SME - RCA,54,11,17
12,20,Brenda Lee,Rockin' Around The Christmas Tree,Universal,20,12,20
13,18,Ariana Grande,Santa Tell Me,Universal,25,10,18
14,21,Bobby Helms,Jingle Bell Rock,K-Tel,20,14,21
15,15,Sia,Snowman,Monkey Puzzle Records Inc.,10,15,15
16,26,Queen,Thank God It's Christmas,Universal,28,8,26
17,24,Bryan Adams,Christmas Time,Universal,22,14,24
18,31,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol,16,18,31
19,23,Band Aid,Do They Know It's Christmas?,Mercury,58,1,23
20,36,Pentatonix,Hallelujah,SME - RCA,33,4,36
21,5,Gayle,abcdefu,Atlantic,7,3,5
22,27,Justin Bieber,Mistletoe,Island,24,19,27
23,NA,Ufo361 & Pashanim,Allein allein,ADS THC,1,23,0
24,38,Michael Bublé,Holly Jolly Christmas,Reprise Records,12,24,38
25,14,Ed Sheeran,Shivers,Atlantic,16,1,14
26,19,Elton John & Dua Lipa,Cold Heart,EMI,19,3,19
27,39,Coldplay,Christmas Lights,Parlophone Label Group,21,26,39
28,42,Kylie Minogue,Santa Baby,Parlophone Label Group,11,23,42
29,9,Sido,Mit Dir,Urban,6,4,9
30,22,Glass Animals,Heat Waves,Polydor,35,2,22
31,16,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",9,3,16
32,45,Britney Spears,My Only Wish (This Year),SME - Sony Music,20,29,45
33,49,Jonas Brothers,Like It's Christmas,Republic Records,10,33,49
34,44,Sarah Connor,The Best Side Of Life,X-Cell,32,4,44
35,52,Dean Martin,Rudolph The Red Nosed Reindeer,Capitol,14,30,52
36,8,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,7,1,8
37,50,Andy Williams,It's The Most Wonderful Time Of The Year,SME - Sony Music,15,22,50
38,53,Gwen Stefani feat. Blake Shelton,You Make It Feel Like Christmas,Interscope,11,33,53
39,92,Michael Bublé,White Christmas [2019],Reprise Records,4,39,92
40,68,Frank Sinatra,Jingle Bells,Capitol,10,40,68
41,25,Lost Frequencies / Calum Scott,Where Are You Now,SME - RCA,20,5,25
42,29,The Kid Laroi / Justin Bieber,Stay,SME - Columbia,25,1,29
43,65,Bing Crosby,White Christmas,Geffen Records,19,39,65
44,59,Ava Max,Christmas Without You,Atlantic,8,28,59
45,67,Daryl Hall & John Oates,Jingle Bell Rock (Daryl's Version),SME - RCA,13,30,67
46,74,"Natalie Cole, Nat ""King"" Cole & The London Symphony Orchestra",The Christmas Song (Chestnuts Roasting On An Open Fire),Capitol,6,46,74
47,75,Eagles,Please Come Home For Christmas,Elektra,8,42,75
48,33,Ed Sheeran,Bad Habits,Atlantic,27,1,33
49,64,Katy Perry,Cozy Little Christmas,Capitol,7,47,64
50,77,Frank Sinatra,Santa Claus Is Coming To Town,SME - Sony Music,10,48,77
51,32,Adele,Easy On Me,SME - Columbia,11,1,32
52,70,Meghan Trainor,I'll Be Home,SME - Epic,13,36,70
53,28,Montez,Auf & ab,Universal Domestic Vertigo,22,1,28
54,37,Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,26,20,37
55,34,Farruko,Pepas,SME - Epic,17,11,34
56,35,Imagine Dragons x JID,Enemy,KIDinaKORNER,9,30,35
57,69,Sarah Connor,The Christmas Song,Universal Domestic Polydor,4,57,69
58,72,The Ronettes,Sleigh Ride,SME - Sony Music,8,55,72
59,40,Shouse,Love Tonight,Hell Beach,28,4,40
60,88,Taylor Swift,Christmas Tree Farm,Taylor Swift Productions,2,60,88
61,79,Sarah Connor,Christmas In My Heart,X-Cell,19,4,79
62,95,Boney M.,Mary's Boy Child / Oh My Lord,SME - Sony Music,18,1,95
63,NA,Kelly Clarkson feat. Ariana Grande,"Santa, Can't You Hear Me",Atlantic,1,63,0
64,43,ART [DE],Rubinroter Wein,23HOURS,2,43,43
65,100,Alessia Cara,Make It To Christmas,EP Entertainment,2,65,100
66,NA,Lukas Graham,Here (For Christmas),Universal Domestic Island,2,66,0
67,NA,Dean Martin,"Baby, It's Cold Outside",Violet Hill Records,1,67,0
68,NA,The Pogues feat. Kirsty MacColl,Fairytale Of New York,Rhino,2,62,0
69,NA,Robbie Williams,Can't Stop Christmas,SME - Columbia,2,69,0
70,NA,Slade,Merry Xmas Everybody,Polydor,18,4,0
71,90,Michael Bublé,Christmas (Baby Please Come Home),Reprise Records,3,71,90
72,NA,Shawn Mendes + Camila Cabello,The Christmas Song,Island,4,72,0
73,47,Tiësto & Ava Max,The Motto,Atlantic,8,47,47
74,55,Nathan Evans,Wellerman,Polydor,49,1,55
75,NA,Liam Payne,All I Want (For Christmas),Capitol,2,75,0
76,NA,Michael Bublé,The Christmas Sweater,Reprise Records,1,76,0
77,NA,Ella Henderson x AJ Mitchell,Blame It On The Mistletoe,Atlantic,1,77,0
78,58,Jason Derulo,Acapulco,Atlantic,14,19,58
79,NA,Hurts,All I Want For Christmas Is New Years Day,SME - Four Music,4,76,0
80,48,Jazeek,Blunt für dich,Good Kid Records/VENTURA Records,2,48,48
81,NA,Elton John,Step Into Christmas,Mercury,5,69,0
82,51,Pashanim,Paris Freestyle,Urban,10,3,51
83,NA,Oh Wonder,This Christmas,Island,1,83,0
84,46,Gzuz,Späti,187 Strassenbande,11,4,46
85,NA,Leony & Vize,Merry Christmas Everyone,Smash The House,2,85,0
86,57,Lil Nas X & Jack Harlow,Industry Baby,SME - Columbia,23,9,57
87,66,Coldplay x BTS,My Universe,Parlophone Label Group,14,13,66
88,NA,Sigrid,Home To You,Universal,1,88,0
89,NA,Ronan Keating,It's Only Christmas,Polydor,1,89,0
90,63,Jaymes Young,Infinity,Atlantic,11,45,63
91,NA,Band Aid 30,Do They Know It's Christmas? (2014),EMI,13,2,0
92,NA,Dean Martin,Winter Wonderland,Into U,2,92,0
93,NA,*N Sync,"Merry Christmas, Happy Holidays",SME - RCA,4,57,0
94,54,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix),Warner Music International,16,6,54
95,NA,Sia,Santa's Coming For Us,Atlantic,5,50,0
96,99,Frankie Goes To Hollywood,The Power Of Love,ZTT Records,31,4,99
97,73,Olivia Rodrigo,Good 4 U,Olivia Rodrigo,33,1,73
98,NA,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,SME - Sony Music,4,73,0
99,76,Pascal Letoublon feat. Leony,Friendships (Lost My Love),Virgin Records,18,20,76
100,NA,Backstreet Boys,Christmas Time,SME - Columbia,3,87,0
