current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Mariah Carey,All I Want For Christmas Is You,Sony Music,81,1,1
2,2,Wham!,Last Christmas,Sony Music,152,2,2
3,3,Gayle,abcdefu,Atlantic,5,3,3
4,7,Sido,Mit Dir,Urban,4,4,7
5,6,Chris Rea,Driving Home For Christmas,Warner Music International,68,3,6
6,4,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,5,1,4
7,10,Melanie Thornton,Wonderful Dream (Holidays Are Coming),Universal Domestic Polydor,127,3,10
8,9,Shakin' Stevens,Merry Christmas Everyone,Sony Music,26,4,9
9,5,Ed Sheeran & Elton John,Merry Christmas,Atlantic,2,5,5
10,11,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",7,3,11
11,8,Ed Sheeran,Shivers,Atlantic,14,1,8
12,12,Elton John & Dua Lipa,Cold Heart,EMI,17,3,12
13,22,Kelly Clarkson,Underneath The Tree,RCA,19,13,22
14,15,Glass Animals,Heat Waves,Polydor,33,2,15
15,13,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,25,6,13
16,21,Lost Frequencies / Calum Scott,Where Are You Now,RCA,18,5,21
17,20,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,35,6,20
18,18,Ariana Grande,Santa Tell Me,Universal,23,10,18
19,23,Paul McCartney,Wonderful Christmastime,Capitol,22,8,23
20,14,Montez,Auf & ab,Universal Domestic Vertigo,20,1,14
21,19,The Kid Laroi / Justin Bieber,Stay,Columbia,23,1,19
22,17,Adele,Easy On Me,Columbia,9,1,17
23,30,Sia,Snowman,Monkey Puzzle Records Inc.,8,20,30
24,26,Brenda Lee,Rockin' Around The Christmas Tree,Universal,18,12,26
25,24,José Feliciano,Feliz Navidad,RCA,52,15,24
26,28,Bobby Helms,Jingle Bell Rock,K-Tel,18,15,28
27,25,Ed Sheeran,Bad Habits,Atlantic,25,1,25
28,27,Farruko,Pepas,Epic,15,11,27
29,29,Band Aid,Do They Know It's Christmas?,Mercury,56,1,29
30,34,Bryan Adams,Christmas Time,Universal,20,14,34
31,35,Justin Bieber,Mistletoe,Island,22,19,35
32,37,Queen,Thank God It's Christmas,Universal,26,8,37
33,NA,Eddin,I ke harru,Epic,1,33,0
34,38,Imagine Dragons x JID,Enemy,KIDinaKORNER,7,30,38
