current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,2,Wham!,Last Christmas,Sony Music,153,1,2
2,1,Mariah Carey,All I Want For Christmas Is You,Sony Music,82,1,1
3,5,Chris Rea,Driving Home For Christmas,Warner Music International,69,3,5
4,9,Ed Sheeran & Elton John,Merry Christmas,Atlantic,3,4,9
5,3,Gayle,abcdefu,Atlantic,6,3,3
6,7,Melanie Thornton,Wonderful Dream (Holidays Are Coming),Universal Domestic Polydor,128,3,7
7,8,Shakin' Stevens,Merry Christmas Everyone,Sony Music,27,4,8
8,6,Kummer feat. Fred Rabe,Der letzte Song,Eklat Tonträger,6,1,6
9,4,Sido,Mit Dir,Urban,5,4,4
10,17,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,36,6,17
11,13,Kelly Clarkson,Underneath The Tree,RCA,20,11,13
12,15,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,26,6,15
13,19,Paul McCartney,Wonderful Christmastime,Capitol,23,8,19
14,11,Ed Sheeran,Shivers,Atlantic,15,1,11
15,23,Sia,Snowman,Monkey Puzzle Records Inc.,9,15,23
16,10,Acraze feat. Cherish,Do It To It,"Thrive Music, LLC",8,3,10
17,25,José Feliciano,Feliz Navidad,RCA,53,15,25
18,18,Ariana Grande,Santa Tell Me,Universal,24,10,18
19,12,Elton John & Dua Lipa,Cold Heart,EMI,18,3,12
20,24,Brenda Lee,Rockin' Around The Christmas Tree,Universal,19,12,24
21,26,Bobby Helms,Jingle Bell Rock,K-Tel,19,15,26
22,14,Glass Animals,Heat Waves,Polydor,34,2,14
23,29,Band Aid,Do They Know It's Christmas?,Mercury,57,1,29
24,30,Bryan Adams,Christmas Time,Universal,21,14,30
25,16,Lost Frequencies / Calum Scott,Where Are You Now,RCA,19,5,16
26,32,Queen,Thank God It's Christmas,Universal,27,8,32
27,31,Justin Bieber,Mistletoe,Island,23,19,31
28,20,Montez,Auf & ab,Universal Domestic Vertigo,21,1,20
29,21,The Kid Laroi / Justin Bieber,Stay,Columbia,24,1,21
30,NA,Gzuz x Maxwell,Genau so eine,187 Strassenbande,1,30,0
31,37,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol,15,21,37
32,22,Adele,Easy On Me,Columbia,10,1,22
33,27,Ed Sheeran,Bad Habits,Atlantic,26,1,27
34,28,Farruko,Pepas,Epic,16,11,28
35,34,Imagine Dragons x JID,Enemy,KIDinaKORNER,8,30,34
36,43,Pentatonix,Hallelujah,RCA,32,4,43
37,36,Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,25,20,36
38,42,Michael Bublé,Holly Jolly Christmas,Reprise Records,11,31,42
39,46,Coldplay,Christmas Lights,Parlophone Label Group,20,26,46
40,35,Shouse,Love Tonight,Hell Beach,27,4,35
41,NA,Jamule,Jung,Life Is Pain,1,41,0
42,49,Kylie Minogue,Santa Baby,Parlophone Label Group,10,23,49
43,NA,ART [DE],Rubinroter Wein,23HOURS,1,43,0
