current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,NA,Rammstein,Zeit,Rammstein,1,1,0
2,1,Miksu / MacLoud & T-Low,Sehnsucht,Futura,2,1,1
3,2,Glass Animals,Heat Waves,Polydor,46,2,2
4,4,Civo,Weg von mir,Good Kid Records/VENTURA Records,7,4,4
5,3,Gayle,abcdefu,Atlantic,18,1,3
6,7,Lost Frequencies / Calum Scott,Where Are You Now,RCA,31,5,7
7,18,Leony,Remedy,Kontor Records,5,7,18
8,6,Ed Sheeran,Shivers,Atlantic,27,1,6
9,5,Imagine Dragons x JID,Enemy,Interscope,20,4,5
10,8,Elton John & Dua Lipa,Cold Heart,EMI,30,3,8
11,9,1986zig,Kopf aus,Universal Domestic Polydor,7,3,9
12,12,Tiësto & Ava Max,The Motto,Atlantic,19,10,12
13,15,Jaymes Young,Infinity,Atlantic,22,13,15
14,13,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,20,3,13
15,14,Luude feat. Colin Hay,Down Under,Sweat It Out,9,9,14
16,11,Ed Sheeran,Bad Habits,Atlantic,38,1,11
17,16,The Kid Laroi / Justin Bieber,Stay,Columbia,36,1,16
18,17,Sido,Mit Dir,Urban,17,3,17
19,19,Farruko,Pepas,Epic,28,11,19
20,20,Fourty & Mathea,Wenn Du mich vermisst,Life Is Pain,5,18,20
21,21,Lil Nas X,Thats What I Want,Columbia,25,11,21
22,27,Jason Derulo,Acapulco,Atlantic,25,18,27
23,NA,Capital Bra,Gott ist mein Zeuge,Urban,1,23,0
24,86,Luciano [DE],Sweet Dreams,Urban,2,24,86
25,24,SDP x Montez,Wie viele Lieder muss ich noch schreiben?,Nur Musik ist schöner,3,15,24
26,25,Montez,Auf & ab,Universal Domestic Vertigo,33,1,25
27,29,Shouse,Love Tonight,Hell Beach,39,4,29
28,37,Tom Odell,Another Love,Columbia,110,11,37
29,30,Glockenbach x ClockClock,Brooklyn,Wefor,11,26,30
30,26,Dove Cameron,Boyfriend,Columbia,5,26,26
31,42,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,5,31,42
32,40,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,2,32,40
33,28,Pajel,10von10,Epic / DOPE,30,2,28
34,39,Alvaro Soler / Ray Dalton,Manila,Epic,6,34,39
35,10,Mero feat. Jamule,Rapstars,Urban,2,10,10
36,32,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),Eklat Tonträger,18,1,32
37,NA,Nimo,You Know,Moonboys Ent.,1,37,0
