current,last_week,artist,title,label,weeks_in_charts,peak_in_charts,last_week_fill
1,1,Luciano [DE],Beautiful Girl,Urban,4,1,1
2,5,Harry Styles,As It Was,Columbia,8,1,5
3,2,Ion Miles / SiraOne / BHZ,Powerade,Sony Music / BHZ,5,2,2
4,3,T-Low & Miksu / Macloud,We Made It,Spinnup,5,1,3
5,4,Miksu / MacLoud & T-Low,Sehnsucht,Futura,12,1,4
6,6,Jack Harlow,First Class,Atlantic,7,2,6
7,9,Glass Animals,Heat Waves,Polydor,56,2,9
8,NA,Domiziana,Ohne Benzin,Four Music,1,8,0
9,10,Leony,Remedy,Kontor Records,15,5,10
10,11,Tiësto & Ava Max,The Motto,Atlantic,29,10,11
11,19,Öwnboss & Sevek,Move Your Body,Musical Freedom,10,11,19
12,13,Lost Frequencies / Calum Scott,Where Are You Now,RCA,41,5,13
13,12,Panic! At The Disco,House Of Memories,Fueled By Ramen,5,12,12
14,20,SDP & Clueso,Die schönsten Tage,Nur Musik ist schöner,4,14,20
15,15,Farruko,Pepas,Epic,38,11,15
16,8,Malik Harris,Rockstars,Better Now Records,8,8,8
17,14,Camila Cabello feat. Ed Sheeran,Bam Bam,Epic,12,12,14
18,16,Elton John & Dua Lipa,Cold Heart,EMI,40,3,16
19,17,Gayle,abcdefu,Atlantic,28,1,17
20,18,Ed Sheeran,Shivers,Atlantic,37,1,18
21,7,T-Low x Ufo361,Airbnb,Spinnup,2,7,7
22,21,ClockClock,Sorry,Wefor,9,18,21
23,NA,Farid Bang & Capital Bra & Kollegah,Molotov,Farid Bang,1,23,0
24,NA,Badmómzjay x Bozza x Kool Savas x Sido,Nie mehr zurück,Def Jam Germany,1,24,0
25,24,Civo,Weg von mir,Good Kid Records/VENTURA Records,17,4,24
26,29,Imagine Dragons x JID,Enemy,Interscope,30,4,29
27,31,Ed Sheeran,Bad Habits,Atlantic,48,1,31
28,27,Jax Jones & MNEK,Where Did You Go?,Polydor,9,27,27
29,48,Benzz,Je m'appelle,Universal,2,29,48
30,28,Alvaro Soler / Ray Dalton,Manila,Epic,16,23,28
31,23,Purple Disco Machine + Sophie And The Giants,In The Dark,Columbia,15,12,23
32,30,Jaymes Young,Infinity,Atlantic,32,11,30
33,32,Acraze feat. Cherish,Do It To It,Thrive Music/Virgin Music,30,3,32
34,38,Lizzo,About Damn Time,Atlantic,3,34,38
35,72,DJ Robin & Schürze,Layla,Summerfield Records,2,35,72
36,34,Shouse,Love Tonight,Hell Beach,49,4,34
37,35,Tom Odell,Another Love,Columbia,120,11,35
38,36,Romero [DE],Sie liebt Techno,Epic,5,34,36
39,37,The Kid Laroi / Justin Bieber,Stay,Columbia,46,1,37
40,42,Julian Sommer,Dicht im Flieger,Electrola,8,40,42
